
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-01;10.376,47;54863252770;10.169,90;101130111809;10.294,75;6712190308;10.403,72;4822155522;10.429,84;89089458183;10.220,81;34364170324;10.328,96;57002088352
2003-01-02;10.417,34;55085548528;10.209,25;101510939871;10.331,61;6735861560;10.430,99;4834795140;10.467,81;89413790763;10.254,63;34472805691;10.373,84;57249616428
2003-01-03;10.418,60;55090588917;10.213,08;101544840249;10.331,50;6735433472;10.425,04;4832136317;10.454,70;89281109507;10.247,00;34444461830;10.381,42;57291419541
2003-01-04;10.418,60;55090588917;10.213,08;101544840249;10.331,50;6735433472;10.425,04;4832136317;10.454,70;89281109507;10.247,00;34444461830;10.381,42;57291419541
2003-01-05;10.418,60;55090588917;10.213,08;101544840249;10.331,50;6735433472;10.425,04;4832136317;10.454,70;89281109507;10.247,00;34444461830;10.381,42;57291419541
2003-01-06;10.465,67;56934814056;10.273,00;102132765829;10.349,34;6747119457;10.471,95;4853640858;10.496,07;89628926563;10.319,32;34692347158;10.424,70;57540436127
2003-01-07;10.507,30;57161797084;10.317,50;102573608745;10.372,20;6761188845;10.507,37;4870057502;10.523,50;89848122948;10.361,77;35038267735;10.460,88;57739589021
2003-01-08;10.581,83;57570843304;10.398,47;103376250586;10.426,48;6793880623;10.581,16;4903606828;10.611,16;90592916961;10.455,77;35352728835;10.561,21;58293342250
2003-01-09;10.524,26;57281291338;10.345,39;102831065529;10.394,32;6773067227;10.526,25;4878161901;10.548,20;90053293411;10.401,00;35166069530;10.485,53;57876471662
2003-01-10;10.498,78;57166978723;10.315,85;103149922725;10.390,38;6873269603;10.506,12;4906248219;10.533,91;89928644342;10.376,80;35094455066;10.466,23;58362749990
2003-01-11;10.498,78;57166978723;10.315,85;103149922725;10.390,38;6873269603;10.506,12;4906248219;10.533,91;89928644342;10.376,80;35094455066;10.466,23;58362749990
2003-01-12;10.498,78;57166978723;10.315,85;103149922725;10.390,38;6873269603;10.506,12;4906248219;10.533,91;89928644342;10.376,80;35094455066;10.466,23;58362749990
2003-01-13;10.559,58;57507710599;10.380,41;103756730489;10.442,19;6906536056;10.559,84;4931332151;10.598,15;90968582974;10.442,04;35314658799;10.532,72;58733513089
2003-01-14;10.597,11;57717538063;10.417,24;104182210021;10.474,57;6926953426;10.591,62;4946458894;10.621,32;91161204868;10.474,38;35528380472;10.567,70;58928883244
2003-01-15;10.633,61;57935122269;10.453,98;104572101946;10.492,66;6941261528;10.634,36;4967173004;10.652,54;91427830713;10.512,45;35664071073;10.603,35;59176028388
2003-01-16;10.674,18;58153448968;10.483,60;104866963660;10.522,97;6961131013;10.674,28;4985747893;10.698,46;91820403357;10.549,23;35788855686;10.644,40;59405123231
2003-01-17;10.664,58;58102192791;10.484,10;105051154434;10.522,90;6962429072;10.661,81;4979749385;10.685,01;91693684596;10.524,47;35703701743;10.633,81;59537712306
2003-01-18;10.664,58;58102192791;10.484,10;105051154434;10.522,90;6962429072;10.661,81;4979749385;10.685,01;91693684596;10.524,47;35703701743;10.633,81;59537712306
2003-01-19;10.664,58;58102192791;10.484,10;105051154434;10.522,90;6962429072;10.661,81;4979749385;10.685,01;91693684596;10.524,47;35703701743;10.633,81;59537712306
2003-01-20;10.661,93;58100479877;10.478,64;104994329691;10.524,51;6974350868;10.667,90;4987147305;10.690,41;91737832948;10.529,56;35719765128;10.631,55;59525078371
2003-01-21;10.594,41;57730598315;10.410,66;104311589285;10.494,17;6953865686;10.591,68;4951558144;10.605,29;91005558321;10.451,15;35453222910;10.557,48;59136076327
2003-01-22;10.581,17;57707436292;10.396,96;103981679730;10.486,84;6955315611;10.578,46;4945366369;10.597,22;90927488741;10.442,98;35414316243;10.542,28;59067761887
2003-01-23;10.552,14;57562521235;10.371,67;103727833277;10.475,16;6953564209;10.558,74;4936178530;10.583,68;90808993132;10.418,31;35330442052;10.516,39;58916088684
2003-01-24;10.483,21;57185848661;10.297,05;102941884991;10.426,02;7043703183;10.484,50;4949307960;10.507,10;90112376152;10.341,42;35069323466;10.445,41;58790521225
2003-01-25;10.483,21;57185848661;10.297,05;102941884991;10.426,02;7043703183;10.484,50;4949307960;10.507,10;90112376152;10.341,42;35069323466;10.445,41;58790521225
2003-01-26;10.483,21;57185848661;10.297,05;102941884991;10.426,02;7043703183;10.484,50;4949307960;10.507,10;90112376152;10.341,42;35069323466;10.445,41;58790521225
2003-01-27;10.524,68;59086198887;10.340,41;103793783187;10.446,68;7060522957;10.525,50;4971854503;10.568,74;90639778325;10.389,32;35313905563;10.488,77;59123967837
