
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-01-01;15.503,63;725084177099;15.027,96;721421995139;14.313,12;97118457470;15.447,19;732404191203;14.905,16;276658265236;15.433,48;457175134045
2005-01-02;15.503,63;725084177099;15.027,96;721421995139;14.313,12;97118457470;15.447,19;732404191203;14.905,16;276658265236;15.433,48;457175134045
2005-01-03;15.511,87;725671877377;15.039,82;721891809817;14.325,19;97199844080;15.458,94;732822628510;14.920,61;276894097506;15.447,28;457724014273
2005-01-04;15.581,23;729675010434;15.103,64;728359921731;14.392,10;97653411314;15.530,48;736062299859;14.986,56;278224793394;15.523,28;459950688140
2005-01-05;15.613,03;731841753218;15.097,95;727982938817;14.422,81;97854222553;15.557,78;737200226973;14.997,73;278379122133;15.548,97;461475651154
2005-01-06;15.460,23;726202813261;14.975,31;725431596799;14.300,87;97019936893;15.414,97;730382262453;14.869,64;275978034136;15.406,61;457094480151
2005-01-07;15.285,06;719292501545;14.786,24;715863513954;14.128,37;96538027820;15.222,41;721273945259;14.683,72;272512476467;15.218,26;452008912904
2005-01-08;15.285,06;719292501545;14.786,24;715863513954;14.128,37;96538027820;15.222,41;721273945259;14.683,72;272512476467;15.218,26;452008912904
2005-01-09;15.285,06;719292501545;14.786,24;715863513954;14.128,37;96538027820;15.222,41;721273945259;14.683,72;272512476467;15.218,26;452008912904
2005-01-10;15.227,70;717803296141;14.740,94;714265408851;14.084,40;96232497334;15.173,80;724432003720;14.637,23;271635958165;15.171,05;450682078051
2005-01-11;15.259,94;720428545998;14.788,44;716485457726;14.116,56;96453681163;15.207,35;725390342810;14.666,71;274682235054;15.200,29;452149663943
2005-01-12;15.281,15;722520965037;14.807,89;717264390064;14.130,30;96547485011;15.228,46;726188997102;14.684,89;275141754953;15.218,79;453837493291
2005-01-13;15.288,12;723733425613;14.811,10;721508018935;14.123,74;96515226784;15.217,63;725638053993;14.680,77;275013835187;15.212,23;453595526433
2005-01-14;15.248,99;722756225077;14.758,66;719136388225;14.082,84;96229039590;15.177,41;724055278451;14.637,59;274304139391;15.169,90;453888183359
2005-01-15;15.248,99;722756225077;14.758,66;719136388225;14.082,84;96229039590;15.177,41;724055278451;14.637,59;274304139391;15.169,90;453888183359
2005-01-16;15.248,99;722756225077;14.758,66;719136388225;14.082,84;96229039590;15.177,41;724055278451;14.637,59;274304139391;15.169,90;453888183359
2005-01-17;15.354,54;742935950303;14.861,47;729229097271;14.189,29;90824202631;15.286,26;747608494967;14.741,78;280315279761;15.284,75;458092898558
2005-01-18;15.431,49;747482871838;14.927,11;732424840672;14.252,04;99223678319;15.355,47;750975798568;14.811,62;281597001075;15.356,06;460503096887
2005-01-19;15.492,39;751500694566;14.998,52;735972201557;14.323,42;99727354569;15.426,24;755090263120;14.883,19;282944260888;15.426,77;464107480984
2005-01-20;15.426,97;750247662320;14.934,08;734931199777;14.258,64;99278926263;15.353,78;751645614316;14.818,82;281715241539;15.360,64;462068771334
2005-01-21;15.491,75;754832133988;14.993,00;742959660018;14.318,29;99690240614;15.409,43;754393982921;14.876,13;282805360623;15.421,49;464292737324
2005-01-22;15.491,75;754832133988;14.993,00;742959660018;14.318,29;99690240614;15.409,43;754393982921;14.876,13;282805360623;15.421,49;464292737324
2005-01-23;15.491,75;754832133988;14.993,00;742959660018;14.318,29;99690240614;15.409,43;754393982921;14.876,13;282805360623;15.421,49;464292737324
2005-01-24;15.367,00;750472158494;14.872,27;736927568696;14.202,10;98896361065;15.277,92;749260966474;14.752,19;281489648990;15.291,01;460361320533
2005-01-25;15.345,53;750086939132;14.850,17;735979434894;14.183,19;98766407945;15.265,09;748760688901;14.737,84;284247016123;15.273,26;460065125852
2005-01-26;15.471,92;757871516259;14.957,39;742256715778;14.289,94;99569615605;15.379,48;755214834011;14.849,70;286399990291;15.390,21;462841490817
2005-01-27;15.479,39;759052746175;14.969,46;745439150419;14.303,58;99664365450;15.391,59;756021018713;14.863,11;287291450830;15.401,24;463262504472
2005-01-28;15.585,75;764584492586;15.056,75;749722827612;14.397,44;100316825386;15.490,88;761995238728;14.958,58;289108650304;15.505,73;467435791887
2005-01-29;15.585,75;764584492586;15.056,75;749722827612;14.397,44;100316825386;15.490,88;761995238728;14.958,58;289108650304;15.505,73;467435791887
2005-01-30;15.585,75;764584492586;15.056,75;749722827612;14.397,44;100316825386;15.490,88;761995238728;14.958,58;289108650304;15.505,73;467435791887
2005-01-31;15.611,71;767205495794;15.084,63;752166613521;14.428,63;100672609920;15.528,07;773161608869;14.984,39;289526180357;15.530,86;467912961672
2005-02-01;15.606,00;766859109324;15.080,47;751951860479;14.419,51;100561530985;15.520,51;772857731965;14.976,83;289372982985;15.521,72;467669917141
2005-02-02;15.666,17;770494437394;15.133,43;754569739983;14.477,25;100892238837;15.584,99;776146509840;15.034,12;290510213527;15.584,71;469552699559
2005-02-03;15.691,25;772631709437;15.147,77;757597877891;14.494,43;101011603170;15.611,04;777545224782;15.054,73;290900776796;15.603,93;470142630066
2005-02-04;15.649,96;772553486914;15.106,63;755545558664;14.453,68;100724384058;15.567,76;775270934219;15.015,17;290129487152;15.566,27;470504434902
2005-02-05;15.649,96;772553486914;15.106,63;755545558664;14.453,68;100724384058;15.567,76;775270934219;15.015,17;290129487152;15.566,27;470504434902
2005-02-06;15.649,96;772553486914;15.106,63;755545558664;14.453,68;100724384058;15.567,76;775270934219;15.015,17;290129487152;15.566,27;470504434902
2005-02-07;15.677,32;775515667711;15.137,04;757216981404;14.479,00;100900306582;15.599,86;776783012756;15.041,57;290670029063;15.593,87;471329849062
2005-02-08;15.783,91;782171065993;15.224,09;761529731543;14.563,30;102093210075;15.691,87;781331604239;15.132,31;294071445417;15.692,58;474501402669
2005-02-09;15.867,27;787067565314;15.313,48;766090910948;14.645,76;102669369893;15.776,01;785251208401;15.217,89;295748824640;15.779,19;477759600145
2005-02-10;15.866,68;787898538299;15.322,53;766207366215;14.651,06;102708087039;15.778,55;785177701453;15.221,50;295781646300;15.781,64;477887497911
2005-02-11;15.767,40;784111838677;15.231,01;764385284433;14.561,31;102065323178;15.680,46;780251786017;15.132,01;294047946628;15.686,74;475639339202
2005-02-12;15.767,40;784111838677;15.231,01;764385284433;14.561,31;102065323178;15.680,46;780251786017;15.132,01;294047946628;15.686,74;475639339202
2005-02-13;15.767,40;784111838677;15.231,01;764385284433;14.561,31;102065323178;15.680,46;780251786017;15.132,01;294047946628;15.686,74;475639339202
2005-02-14;15.764,20;784782591042;15.216,19;763867245496;14.546,90;101984048175;15.676,95;780062097519;15.121,72;293910794125;15.679,85;475431180075
2005-02-15;15.830,53;789146730427;15.269,12;766934937737;14.603,39;102381445603;15.739,33;783150310219;15.179,78;295035210303;15.740,51;477336386069
2005-02-16;15.885,40;807026783574;15.326,29;775282949778;14.672,06;96782269568;15.803,16;804101088430;15.238,38;301876254622;15.808,02;480683375684
2005-02-17;15.950,77;811969731052;15.380,61;780949595302;14.736,18;97220292089;15.854,85;806728893676;15.299,24;303073332885;15.871,84;483139230803
2005-02-18;15.889,05;810222704610;15.334,87;780822659469;14.679,25;104598871774;15.801,89;804066383128;15.248,40;302059420891;15.817,79;482879317371
2005-02-19;15.889,05;810222704610;15.334,87;780822659469;14.679,25;104598871774;15.801,89;804066383128;15.248,40;302059420891;15.817,79;482879317371
2005-02-20;15.889,05;810222704610;15.334,87;780822659469;14.679,25;104598871774;15.801,89;804066383128;15.248,40;302059420891;15.817,79;482879317371
2005-02-21;15.917,38;813813197905;15.364,14;782286068638;14.703,77;104773570575;15.828,35;813494694044;15.272,61;302834682883;15.848,17;483936529083
2005-02-22;15.946,25;816638296433;15.381,23;783149996480;14.727,30;104942424234;15.851,41;814806028577;15.294,25;306608887703;15.875,59;484789383886
2005-02-23;15.948,49;817798882123;15.392,16;784649644994;14.734,18;105000588674;15.851,31;816229828854;15.301,72;306702782866;15.879,01;486354870408
2005-02-24;16.006,80;821002546567;15.446,30;791319997122;14.792,85;105461403250;15.917,83;820792014165;15.362,18;308667698643;15.942,89;488541625858
2005-02-25;16.031,65;822801585403;15.460,38;792098548566;14.810,61;105650247336;15.933,35;822339983584;15.378,64;308987538156;15.961,93;490202494311
2005-02-26;16.031,65;822801585403;15.460,38;792098548566;14.810,61;105650247336;15.933,35;822339983584;15.378,64;308987538156;15.961,93;490202494311
2005-02-27;16.031,65;822801585403;15.460,38;792098548566;14.810,61;105650247336;15.933,35;822339983584;15.378,64;308987538156;15.961,93;490202494311
2005-02-28;16.229,09;832601332129;15.645,64;802596889191;14.998,69;107107037158;16.136,59;834041830495;15.569,90;313109828029;16.162,17;495965282668

Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-01;16.150,16;495600960781;16.207,42;831475740295;15.627,26;801637460936;14.993,41;107068898789;16.116,90;833021632426;15.548,13;312668251223
2005-03-02;16.305,28;500324810290;16.358,27;840086015943;15.772,57;809016700459;15.135,91;108087709047;16.280,22;841613032349;15.698,64;315681297629
2005-03-03;16.411,24;503484767269;16.474,50;848030762084;15.871,56;818301275034;15.234,99;108795892455;16.383,26;846985843821;15.795,49;317620960074
2005-03-04;16.314,13;502252211901;16.368,86;844381613687;15.786,44;813926585285;15.153,26;108211926702;16.276,58;840852037910;15.697,37;315766399551
2005-03-05;16.314,13;502252211901;16.368,86;844381613687;15.786,44;813926585285;15.153,26;108211926702;16.276,58;840852037910;15.697,37;315766399551
2005-03-06;16.314,13;502252211901;16.368,86;844381613687;15.786,44;813926585285;15.153,26;108211926702;16.276,58;840852037910;15.697,37;315766399551
2005-03-07;16.373,24;504068311883;16.429,77;849876694310;15.849,36;817363581740;15.209,67;108595519504;16.344,96;850347796620;15.759,61;317014038226
2005-03-08;16.387,34;504417902308;16.448,88;853057999325;15.847,39;817182336897;15.221,12;108677245280;16.356,34;850928140431;15.765,12;319370564970
2005-03-09;16.472,87;508709074154;16.526,00;858664014393;15.953,46;822690239817;15.295,03;109203504719;16.445,55;855487105351;15.857,40;321274780837
2005-03-10;16.555,59;511311541386;16.604,14;864080896751;16.030,42;832216429515;15.372,33;110811633447;16.529,62;860081483683;15.934,18;322816574983
2005-03-11;16.466,86;509705833052;16.506,17;860421413958;15.944,78;827758161380;15.291,13;110220601416;16.432,31;854727999952;15.845,28;321008620707
2005-03-12;16.466,86;509705833052;16.506,17;860421413958;15.944,78;827758161380;15.291,13;110220601416;16.432,31;854727999952;15.845,28;321008620707
2005-03-13;16.466,86;509705833052;16.506,17;860421413958;15.944,78;827758161380;15.291,13;110220601416;16.432,31;854727999952;15.845,28;321008620707
2005-03-14;16.353,95;506230089018;16.402,79;856432155273;15.833,27;821441145213;15.185,99;109460108796;16.319,91;848849353149;15.738,71;318838858908
2005-03-15;16.389,14;507468011773;16.439,65;861191359046;15.873,24;823455945492;15.220,01;109713993587;16.366,00;851208043512;15.778,12;319702303165
2005-03-16;16.299,78;508900296946;16.359,14;871076455599;15.783,56;822247572327;15.131,70;104515578238;16.268,23;856533239887;15.686,03;324312443239
2005-03-17;16.281,35;509510674305;16.349,49;873389493575;15.775,61;829534695291;15.122,93;111890495801;16.251,62;855648090188;15.676,52;324104175552
2005-03-18;16.200,17;510168933850;16.254,89;872680100932;15.693,46;828182657672;15.041,81;111383095544;16.161,50;852130483282;15.592,89;322371325183
2005-03-19;16.200,17;510168933850;16.254,89;872680100932;15.693,46;828182657672;15.041,81;111383095544;16.161,50;852130483282;15.592,89;322371325183
2005-03-20;16.200,17;510168933850;16.254,89;872680100932;15.693,46;828182657672;15.041,81;111383095544;16.161,50;852130483282;15.592,89;322371325183
2005-03-21;16.135,61;508168197633;16.193,25;872291760391;15.626,20;825374353758;14.974,45;110870447917;16.089,54;849546474788;15.524,47;321828108593
2005-03-22;16.226,76;511042201489;16.288,37;879433827619;15.712,69;830018265504;15.060,46;111500884332;16.185,57;854691510983;15.615,36;328098867234
2005-03-23;16.131,33;509059568901;16.174,13;876379905636;15.620,97;824930938172;14.973,53;110938428839;16.089,92;849725710020;15.520,55;326196995808
2005-03-24;16.126,10;509026012203;16.173,08;878636262972;15.621,97;834797102360;14.970,98;110963638361;16.087,16;850536059762;15.521,51;326213187246
2005-03-25;16.126,10;509026012203;16.173,08;878636262972;15.621,97;834797102360;14.970,98;110963638361;16.087,16;850536059762;15.521,51;326213187246
2005-03-26;16.126,10;509026012203;16.173,08;878636262972;15.621,97;834797102360;14.970,98;110963638361;16.087,16;850536059762;15.521,51;326213187246
2005-03-27;16.126,10;509026012203;16.173,08;878636262972;15.621,97;834797102360;14.970,98;110963638361;16.087,16;850536059762;15.521,51;326213187246
2005-03-28;15.977,01;506371372583;16.035,78;873666517570;15.472,80;827400946270;14.827,30;109903539991;15.940,00;857584428944;15.374,75;323916428961
2005-03-29;16.038,18;508387258737;16.096,76;877956047413;15.524,05;830057644824;14.882,50;110343222355;15.995,41;860879707748;15.431,34;325104893172
2005-03-30;16.016,67;508835635310;16.072,42;877204051079;15.502,01;828928869730;14.860,99;110230085845;15.974,23;860229701900;15.411,37;324678245458
2005-03-31;15.939,28;506676483170;15.986,86;872793744067;15.443,93;834670810858;14.791,99;109607654799;15.899,35;856209938069;15.340,84;323233407933
2005-04-01;15.991,39;508332671661;16.065,52;877040655278;15.482,51;836717171538;14.832,88;109910628064;15.954,38;859035223389;15.385,35;324125199864
2005-04-02;15.991,39;508332671661;16.065,52;877040655278;15.482,51;836717171538;14.832,88;109910628064;15.954,38;859035223389;15.385,35;324125199864
2005-04-03;15.991,39;508332671661;16.065,52;877040655278;15.482,51;836717171538;14.832,88;109910628064;15.954,38;859035223389;15.385,35;324125199864
2005-04-04;16.048,74;510158632077;16.100,27;879859003760;15.538,97;839734822900;14.894,00;110361300312;16.015,37;862221222473;15.443,97;325477817636
2005-04-05;16.101,63;511859308068;16.158,32;885113181376;15.582,77;842442989856;14.935,30;110661301142;16.062,84;864716280921;15.495,43;331650906772
2005-04-06;16.028,35;511838867542;16.083,51;884285934163;15.524,22;839268657990;14.872,82;110200993891;15.997,95;861261600704;15.432,61;330290396926
2005-04-07;16.064,22;512905727233;16.111,14;888731412209;15.553,83;849259085252;14.904,00;110428340216;16.022,48;862544115291;15.461,14;330951232731
2005-04-08;16.053,79;513775547458;16.098,81;890884351170;15.544,66;848378199045;14.890,91;112932382887;16.014,58;861745733686;15.446,07;330617744090
2005-04-09;16.053,79;513775547458;16.098,81;890884351170;15.544,66;848378199045;14.890,91;112932382887;16.014,58;861745733686;15.446,07;330617744090
2005-04-10;16.053,79;513775547458;16.098,81;890884351170;15.544,66;848378199045;14.890,91;112932382887;16.014,58;861745733686;15.446,07;330617744090
2005-04-11;16.141,40;516600060931;16.193,36;898828647845;15.631,10;853009755499;14.974,63;113565967948;16.110,69;866857465954;15.530,91;332423118876
2005-04-12;16.130,41;516282671394;16.180,67;900298336567;15.629,17;852585457061;14.964,96;113507005295;16.097,20;866744734409;15.522,58;332364028810
2005-04-13;16.182,02;519740772714;16.234,49;904848411349;15.669,28;855388336164;15.009,74;113858232335;16.142,86;868752863481;15.570,78;333441581511
2005-04-14;16.143,82;518556918587;16.191,40;903252744778;15.630,05;858100651409;14.971,67;113558077132;16.104,33;866682600454;15.533,81;332641301319
2005-04-15;16.157,87;522527611400;16.217,99;917634622950;15.651,36;861174398093;14.981,81;109742059690;16.111,20;874867013882;15.548,99;339928529251
2005-04-16;16.157,87;522527611400;16.217,99;917634622950;15.651,36;861174398093;14.981,81;109742059690;16.111,20;874867013882;15.548,99;339928529251
2005-04-17;16.157,87;522527611400;16.217,99;917634622950;15.651,36;861174398093;14.981,81;109742059690;16.111,20;874867013882;15.548,99;339928529251
2005-04-18;16.009,61;520005388904;16.080,12;911742800838;15.521,24;857010259705;14.849,35;115332989269;15.969,61;879869637969;15.410,68;337075239845
2005-04-19;15.947,10;518519460534;16.009,80;908850560323;15.469,93;854127231112;14.799,41;114945150784;15.900,07;876133366733;15.359,39;339851021163
2005-04-20;15.783,28;514394635039;15.829,78;900632491825;15.308,71;845215528880;14.636,72;113681805318;15.737,69;868614682799;15.193,35;336173072588
2005-04-21;15.921,51;518960153367;15.967,74;909613404399;15.430,42;856870276424;14.755,86;114604211576;15.873,82;876603566135;15.322,83;339036686363
2005-04-22;15.912,23;519032737485;15.955,33;910747215177;15.429,04;857981096893;14.752,49;114628200914;15.870,19;876795204968;15.320,31;338728908910
2005-04-23;15.912,23;519032737485;15.955,33;910747215177;15.429,04;857981096893;14.752,49;114628200914;15.870,19;876795204968;15.320,31;338728908910
2005-04-24;15.912,23;519032737485;15.955,33;910747215177;15.429,04;857981096893;14.752,49;114628200914;15.870,19;876795204968;15.320,31;338728908910
2005-04-25;15.919,58;519315288954;15.975,32;912999365887;15.423,06;858521931216;14.751,78;114641249335;15.876,97;878223306998;15.312,99;339759262290
2005-04-26;15.939,55;520362588055;15.992,58;915593208177;15.454,37;860224029279;14.772,11;114851293555;15.896,63;880239588982;15.347,39;340515396275
2005-04-27;16.019,44;524165114229;16.083,02;921684293680;15.524,19;864151509269;14.835,71;115437319583;15.973,84;884921484379;15.421,59;342150200725
2005-04-28;15.954,75;522211144249;16.012,72;918249633092;15.466,18;865330762102;14.775,83;115043862694;15.907,38;881878660152;15.359,92;340712668544
2005-04-29;15.909,19;520996090615;15.981,00;916355641079;15.416,24;863363286028;14.726,89;114622986426;15.870,68;879896991760;15.315,24;340272300048
