
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-01-01;17.820,05;779833486367;17.825,79;1306731257912;17.154,79;1199319133922;16.335,48;164309605523;17.830,18;1295104882350;17.091,16;468819025896
2006-01-02;17.864,96;781798785016;17.864,94;1309563786080;17.210,29;1206699736927;16.381,13;164768844765;17.877,38;1298305550377;17.138,33;470000629478
2006-01-03;17.864,01;785449894766;17.859,61;1310389869200;17.210,78;1207044505520;16.381,96;160521702234;17.879,44;1309136723907;17.137,55;465633816689
2006-01-04;17.919,88;788697706620;17.924,11;1316156906314;17.262,93;1210683594805;16.441,92;161090256998;17.942,12;1313703411997;17.190,57;467006015249
2006-01-05;18.120,85;797219588505;18.138,83;1332290945383;17.459,31;1224526631237;16.630,98;167613331086;18.145,34;1328544011698;17.396,12;473641501009
2006-01-06;18.333,94;807251180282;18.339,51;1347349816186;17.648,19;1237645306861;16.831,26;169624249428;18.360,92;1343816894600;17.603,69;479492064017
2006-01-07;18.333,94;807251180282;18.339,51;1347349816186;17.648,19;1237645306861;16.831,26;169624249428;18.360,92;1343816894600;17.603,69;479492064017
2006-01-08;18.333,94;807251180282;18.339,51;1347349816186;17.648,19;1237645306861;16.831,26;169624249428;18.360,92;1343816894600;17.603,69;479492064017
2006-01-09;18.492,14;814235815976;18.476,84;1357769429014;17.801,55;1248503025146;16.985,45;171102066707;18.515,29;1358584349878;17.754,82;483572510329
2006-01-10;18.582,49;818777299415;18.568,57;1364877102725;17.885,24;1254259038254;17.064,77;171894805080;18.607,36;1365787087180;17.840,29;485832982775
2006-01-11;18.667,78;823531805585;18.659,27;1372202128249;17.954,21;1259045786064;17.145,65;172725291836;18.699,85;1372389592017;17.929,84;488261343780
2006-01-12;18.632,57;822089932538;18.633,22;1370732399818;17.927,92;1257532053253;17.112,07;172384166937;18.672,49;1370304605948;17.888,89;487137671729
2006-01-13;18.700,38;827148820567;18.686,85;1375723100354;17.976,04;1266501074203;17.165,33;172921507779;18.734,04;1375179268177;17.948,31;488816387332
2006-01-14;18.700,38;827148820567;18.686,85;1375723100354;17.976,04;1266501074203;17.165,33;172921507779;18.734,04;1375179268177;17.948,31;488816387332
2006-01-15;18.700,38;827148820567;18.686,85;1375723100354;17.976,04;1266501074203;17.165,33;172921507779;18.734,04;1375179268177;17.948,31;488816387332
2006-01-16;18.799,67;837430232665;18.773,39;1386316881842;18.058,57;1280010787873;17.255,78;168169667509;18.821,17;1389093533832;18.033,21;495360900740
2006-01-17;18.783,82;837658806985;18.763,01;1387376961463;18.037,87;1278771520621;17.238,25;171979455904;18.810,42;1388269722985;18.007,72;496643147072
2006-01-18;18.807,71;842167655322;18.774,10;1390173145168;18.053,76;1279187328601;17.261,99;172723407614;18.830,11;1389676149905;18.025,80;497103907640
2006-01-19;18.720,99;839011524553;18.682,29;1384614586209;17.980,19;1277812999928;17.196,10;172062307081;18.753,84;1384019819038;17.957,84;495842240632
2006-01-20;18.588,24;834695402202;18.573,73;1377609445628;17.866,63;1269678323604;17.051,78;170617082296;18.599,92;1375233485803;17.823,14;492328625661
2006-01-21;18.588,24;834695402202;18.573,73;1377609445628;17.866,63;1269678323604;17.051,78;170617082296;18.599,92;1375233485803;17.823,14;492328625661
2006-01-22;18.588,24;834695402202;18.573,73;1377609445628;17.866,63;1269678323604;17.051,78;170617082296;18.599,92;1375233485803;17.823,14;492328625661
2006-01-23;18.748,39;841894557364;18.731,43;1390412613992;18.003,07;1281039454199;17.208,10;172168737274;18.763,85;1395979329113;17.976,51;496544493201
2006-01-24;18.734,13;841288109854;18.696,44;1388471219240;18.003,47;1281027183992;17.207,66;172204766127;18.761,38;1397869639988;17.969,37;497205181599
2006-01-25;18.634,87;838969318345;18.632,23;1384963635161;17.901,56;1274053994561;17.106,31;171202429396;18.653,06;1389936415481;17.876,11;494613963408
2006-01-26;18.730,52;843290005940;18.713,90;1391779474316;17.990,43;1285392030995;17.196,72;172142273451;18.751,07;1397270942217;17.970,25;497447515284
2006-01-27;18.878,89;851043799695;18.834,54;1400979134501;18.123,12;1294862129842;17.329,77;173518566120;18.895,49;1408293035888;18.095,50;501056198239
2006-01-28;18.878,89;851043799695;18.834,54;1400979134501;18.123,12;1294862129842;17.329,77;173518566120;18.895,49;1408293035888;18.095,50;501056198239
2006-01-29;18.878,89;851043799695;18.834,54;1400979134501;18.123,12;1294862129842;17.329,77;173518566120;18.895,49;1408293035888;18.095,50;501056198239
2006-01-30;18.961,05;855071471819;18.926,80;1408791781267;18.197,62;1300992814304;17.402,15;174341146226;18.971,87;1416080940181;18.185,83;503598691411
2006-01-31;19.078,15;860332757058;19.031,76;1416173002614;18.310,82;1309781232194;17.509,50;175456015797;19.095,41;1425333219914;18.300,57;506799590977
2006-02-01;19.128,18;865154404791;19.082,91;1421742487371;18.379,09;1313720170936;17.555,12;172368720638;19.151,97;1441860320585;18.350,80;506137394041
2006-02-02;19.145,29;865880761478;19.102,91;1424767235849;18.383,10;1316170759023;17.573,80;172553630464;19.164,92;1442204460606;18.358,19;508859427821
2006-02-03;19.160,42;870419254444;19.122,29;1427244631617;18.389,31;1316727835779;17.593,07;172743668362;19.184,89;1444144527475;18.369,63;509240151171
2006-02-04;19.160,42;870419254444;19.122,29;1427244631617;18.389,31;1316727835779;17.593,07;172743668362;19.184,89;1444144527475;18.369,63;509240151171
2006-02-05;19.160,42;870419254444;19.122,29;1427244631617;18.389,31;1316727835779;17.593,07;172743668362;19.184,89;1444144527475;18.369,63;509240151171
2006-02-06;19.079,62;866794229151;19.034,13;1422193385588;18.309,15;1310977748779;17.505,70;177965581200;19.103,01;1446382143842;18.286,22;506905862027
