
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-01-01;16.567,80;1798836238366;16.737,29;1761505034181;16.562,12;1627114665926;15.879,77;159390244120;16.992,01;2092585018067
2009-01-02;16.692,72;1812399905957;16.872,39;1775590384364;16.659,75;1635144421945;16.037,29;160970566351;17.116,35;2106563453911
2009-01-03;16.692,72;1812399905957;16.872,39;1775590384364;16.659,75;1635144421945;16.037,29;160970566351;17.116,35;2106563453911
2009-01-04;16.692,72;1812399905957;16.872,39;1775590384364;16.659,75;1635144421945;16.037,29;160970566351;17.116,35;2106563453911
2009-01-05;16.877,24;1830228018910;17.058,29;1794386701559;16.880,77;1655907524462;16.213,81;162747278677;17.309,93;2125938508480
2009-01-06;17.161,29;1860568615906;17.364,76;1825857800208;17.156,73;1677723554326;16.504,54;161384070300;17.586,23;2156064832192
2009-01-07;17.307,78;1876634216240;17.537,04;1843182235706;17.339,64;1694943671205;16.663,84;164533948398;17.763,32;2177505462739
2009-01-08;17.189,63;1863465720008;17.416,81;1830713518925;17.189,49;1679849655882;16.564,16;163539997808;17.627,76;2160671478407
2009-01-09;16.929,72;1835668337454;17.149,76;1801941721721;16.972,71;1658575734278;16.283,04;160464565178;17.378,80;2129980447242
2009-01-10;16.929,72;1835668337454;17.149,76;1801941721721;16.972,71;1658575734278;16.283,04;160464565178;17.378,80;2129980447242
2009-01-11;16.929,72;1835668337454;17.149,76;1801941721721;16.972,71;1658575734278;16.283,04;160464565178;17.378,80;2129980447242
2009-01-12;16.793,71;1821505180971;17.020,72;1788640921556;16.822,60;1645078626743;16.122,20;158888758416;17.238,55;2113443712193
2009-01-13;16.553,20;1796000168145;16.780,74;1764176220635;16.561,10;1620752582572;15.882,54;156540916261;17.002,69;2084836000892
2009-01-14;16.430,45;1785952624487;16.664,50;1753482433006;16.448,32;1611962312398;15.767,93;155182926943;16.878,77;2071904642172
2009-01-15;16.311,58;1776276635908;16.524,34;1743423045518;16.325,16;1599632719023;15.619,01;151228681648;16.735,82;2051019925992
2009-01-16;16.154,38;1759237795393;16.341,50;1728499072762;16.189,78;1590093008302;15.457,61;151666954341;16.582,29;2032497821765
2009-01-17;16.154,38;1759237795393;16.341,50;1728499072762;16.189,78;1590093008302;15.457,61;151666954341;16.582,29;2032497821765
2009-01-18;16.154,38;1759237795393;16.341,50;1728499072762;16.189,78;1590093008302;15.457,61;151666954341;16.582,29;2032497821765
2009-01-19;16.284,58;1778786354239;16.488,16;1749786100616;16.328,03;1606794877853;15.593,17;152840169957;16.736,10;2059666399054
2009-01-20;16.323,74;1783228242070;16.542,82;1757141294002;16.352,64;1609684420817;15.633,04;153339965818;16.777,10;2065087393234
2009-01-21;16.087,06;1757154062471;16.331,02;1734967697144;16.067,36;1581439494128;15.389,39;151133543366;16.488,34;2029571719752
2009-01-22;16.048,79;1753044121400;16.252,61;1726805477247;16.070,47;1581180681141;15.330,42;150159067958;16.468,61;2027044762281
2009-01-23;16.049,91;1752895416329;16.259,81;1727215451272;16.081,13;1582845485307;15.348,93;150772840879;16.467,99;2026603741889
2009-01-24;16.049,91;1752895416329;16.259,81;1727215451272;16.081,13;1582845485307;15.348,93;150772840879;16.467,99;2026603741889
2009-01-25;16.049,91;1752895416329;16.259,81;1727215451272;16.081,13;1582845485307;15.348,93;150772840879;16.467,99;2026603741889
2009-01-26;16.004,15;1747259089002;16.197,87;1720675946618;16.015,81;1576501849032;15.285,03;150132486481;16.407,27;2018493583099
2009-01-27;16.121,65;1760087627109;16.339,77;1735615530336;16.153,10;1589663627354;15.408,38;151364781248;16.551,54;2035733571729
2009-01-28;16.255,44;1774469409020;16.455,90;1747600545786;16.303,20;1604988293707;15.527,02;152497649661;16.690,51;2052714288444
2009-01-29;16.479,01;1798557619298;16.681,27;1771150796901;16.551,17;1629026201874;15.743,52;154662433155;16.930,64;2081985526002
2009-01-30;16.424,13;1790887059730;16.652,79;1766401990423;16.456,15;1617453400172;15.708,47;154049554673;16.891,59;2076849182026
2009-01-31;16.424,13;1790887059730;16.652,79;1766401990423;16.456,15;1617453400172;15.708,47;154049554673;16.891,59;2076849182026
2009-02-01;16.424,13;1790887059730;16.652,79;1766401990423;16.456,15;1617453400172;15.708,47;154049554673;16.891,59;2076849182026
2009-02-02;16.351,87;1787516043738;16.585,62;1758871389907;16.369,05;1604290561423;15.641,45;150363364034;16.801,22;2060837181510
2009-02-03;16.254,76;1776205733650;16.468,11;1745887427588;16.261,49;1593635687070;15.542,62;149140925502;16.686,31;2044549627716
2009-02-04;16.348,95;1787076539646;16.562,05;1755227587124;16.382,30;1604862161369;15.622,71;151569643675;16.789,60;2056225354445
2009-02-05;16.459,78;1798926656025;16.700,78;1770098355183;16.485,15;1614939966159;15.734,30;152496107682;16.921,59;2071711281820
2009-02-06;16.536,99;1806647368338;16.767,35;1776810542632;16.589,34;1623794182486;15.812,37;153246064376;17.002,45;2080773724631
2009-02-07;16.536,99;1806647368338;16.767,35;1776810542632;16.589,34;1623794182486;15.812,37;153246064376;17.002,45;2080773724631
2009-02-08;16.536,99;1806647368338;16.767,35;1776810542632;16.589,34;1623794182486;15.812,37;153246064376;17.002,45;2080773724631
2009-02-09;16.820,79;1836569587552;17.051,42;1805707659122;16.894,04;1653452373512;16.095,34;155751209079;17.304,47;2117529864975
2009-02-10;16.898,79;1845081914062;17.172,08;1818388473550;16.970,43;1660326379540;16.189,87;156670951187;17.412,83;2130653460143
2009-02-11;16.675,20;1820629776901;16.971,50;1796569934140;16.733,58;1637894460862;15.989,14;154650304701;17.195,36;2103728701602
2009-02-12;16.589,12;1812817131842;16.864,62;1785625121212;16.668,27;1631137200528;15.880,20;153607494600;17.092,94;2092610815211
2009-02-13;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-14;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-15;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-16;16.476,20;1804281588767;16.709,16;1778097797969;16.566,76;1627785905427;15.735,67;149383599040;16.996,52;2081734006171
2009-02-17;16.481,80;1806117112511;16.710,59;1778656489030;16.549,48;1626576873138;15.732,84;151395188485;16.987,69;2081173702171
