
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-01-01;40.639,70;3665881927162;42.822,06;4880546459864;43.503,13;5522756567425;41.899,46;1087910236285;39.607,81;400408431458;42.150,88;3763391632592
2019-01-02;40.719,47;3622332986601;42.897,91;4816236370478;43.585,14;5435474580704;42.003,32;1037267426045;39.687,99;397542053971;42.234,89;3742344408413
2019-01-03;40.802,04;3599204160951;42.983,54;4780135310782;43.654,15;5330242036251;42.079,31;990683757008;39.765,17;395400223245;42.316,96;3734415721388
2019-01-04;40.658,85;3577556151779;42.839,58;4753821125709;43.519,33;5295827374141;41.950,68;981147691933;39.635,14;393426304359;42.167,51;3715063536349
2019-01-05;40.658,85;3577556151779;42.839,58;4753821125709;43.519,33;5295827374141;41.950,68;981147691933;39.635,14;393426304359;42.167,51;3715063536349
2019-01-06;40.658,85;3577556151779;42.839,58;4753821125709;43.519,33;5295827374141;41.950,68;981147691933;39.635,14;393426304359;42.167,51;3715063536349
2019-01-07;40.854,17;3591365376887;43.031,24;4769574188748;43.687,25;5306854684283;42.176,41;983297384551;39.811,40;394901945163;42.376,68;3731008561554
2019-01-08;40.848,13;3589288986677;43.019,56;4766716770982;43.684,06;5303049093505;42.194,10;982262992002;39.810,37;394814467570;42.367,77;3729549142430
2019-01-09;41.025,21;3602533313153;43.200,65;4785182002318;43.880,21;5324845298906;42.371,51;986055184430;39.989,81;396615971360;42.557,94;3745732213117
2019-01-10;41.398,17;3637213560109;43.592,40;4831386200377;44.287,38;5376276276999;42.763,53;995767097327;40.358,43;400479812280;42.959,15;3782166301264
2019-01-11;41.464,21;3646214754503;43.660,51;4843138727739;44.346,00;5387724483841;42.838,32;999023742264;40.426,05;401440564699;43.022,74;3789749024749
2019-01-12;41.464,21;3646214754503;43.660,51;4843138727739;44.346,00;5387724483841;42.838,32;999023742264;40.426,05;401440564699;43.022,74;3789749024749
2019-01-13;41.464,21;3646214754503;43.660,51;4843138727739;44.346,00;5387724483841;42.838,32;999023742264;40.426,05;401440564699;43.022,74;3789749024749
2019-01-14;41.468,34;3650376082258;43.657,17;4849196118489;44.340,68;5392164657720;42.821,98;1001949513645;40.419,76;401782368979;43.023,76;3794271370848
2019-01-15;41.309,17;3642963439612;43.486,60;4829255722827;44.161,69;5384220743976;42.657,01;999691653595;40.263,84;401271097877;42.851,23;3775591702707
2019-01-16;41.478,81;3659203920174;43.655,26;4848748020055;44.327,43;5408465755905;42.822,93;1003832693885;40.416,32;403383062675;43.019,96;3791489507053
2019-01-17;41.601,74;3670249096303;43.776,85;4861451979751;44.451,86;5423282927929;42.951,70;1007005029238;40.524,95;404582128135;43.143,51;3802317897521
2019-01-18;41.640,19;3672957950334;43.826,54;4866822122749;44.498,91;5429406538293;43.006,48;1008431109073;40.569,15;404671605167;43.190,30;3805482123379
2019-01-19;41.640,19;3672957950334;43.826,54;4866822122749;44.498,91;5429406538293;43.006,48;1008431109073;40.569,15;404671605167;43.190,30;3805482123379
2019-01-20;41.640,19;3672957950334;43.826,54;4866822122749;44.498,91;5429406538293;43.006,48;1008431109073;40.569,15;404671605167;43.190,30;3805482123379
2019-01-21;41.872,75;3692711250974;44.073,01;4894308125604;44.745,58;5460743531505;43.265,74;1014766474875;40.792,45;406825993831;43.431,89;3826448160216
2019-01-22;41.992,82;3697078045044;44.189,44;4913923498078;44.864,85;5472168405457;43.376,31;1017293279035;40.901,14;407774625854;43.545,86;3838357693890
2019-01-23;41.676,09;3668582988001;43.847,19;4878593040768;44.525,78;5429498921791;43.033,20;1009256499113;40.589,32;404733285738;43.213,31;3808972476884
2019-01-24;41.712,77;3665930600929;43.890,31;4873028423930;44.569,64;5425051898567;43.060,02;1005930144421;40.625,72;404792717466;43.259,34;3810792198734
2019-01-25;41.828,95;3671891854908;44.006,35;4880398023286;44.683,57;5428738938331;43.192,60;1005940150953;40.727,62;405534848247;43.377,60;3819493436709
2019-01-26;41.828,95;3671891854908;44.006,35;4880398023286;44.683,57;5428738938331;43.192,60;1005940150953;40.727,62;405534848247;43.377,60;3819493436709
2019-01-27;41.828,95;3671891854908;44.006,35;4880398023286;44.683,57;5428738938331;43.192,60;1005940150953;40.727,62;405534848247;43.377,60;3819493436709
2019-01-28;41.938,45;3676524781188;44.116,87;4886463522980;44.812,98;5437011684895;43.307,55;1007155990475;40.827,14;406496006737;43.499,31;3828054457398
2019-01-29;41.976,00;3677971521642;44.144,05;4883298445534;44.837,51;5433598193269;43.338,29;1006113805655;40.849,95;406443276752;43.527,25;3823283243049
2019-01-30;41.923,21;3704661559859;44.095,07;4917769774239;44.777,72;5518447479735;43.278,61;1055099693047;40.798,63;409078860795;43.487,63;3831684339373
2019-01-31;41.914,02;3721893511067;44.096,19;4939655323634;44.789,42;5586066710933;43.294,24;1089361128909;40.797,89;410028385741;43.487,76;3834531634400
2019-02-01;41.868,36;3724846497236;44.048,89;4956827908185;44.759,43;5621744367534;43.282,94;1102815603816;40.749,55;408862939767;43.455,55;3825142611181
2019-02-02;41.868,36;3724846497236;44.048,89;4956827908185;44.759,43;5621744367534;43.282,94;1102815603816;40.749,55;408862939767;43.455,55;3825142611181
2019-02-03;41.868,36;3724846497236;44.048,89;4956827908185;44.759,43;5621744367534;43.282,94;1102815603816;40.749,55;408862939767;43.455,55;3825142611181
2019-02-04;41.835,23;3726119764109;43.997,94;4955102641788;44.698,39;5615967108644;43.239,69;1104287826110;40.710,10;408848096218;43.395,38;3820999386521
2019-02-05;41.851,65;3728782230300;44.015,42;4958919981434;44.714,60;5620758130467;43.269,61;1106498813406;40.719,20;409089935399;43.410,71;3823043603533
2019-02-06;41.912,10;3736203048386;44.092,14;4968369560824;44.800,72;5633328274506;43.337,71;1109062523312;40.780,52;409911132684;43.483,53;3830088405380
2019-02-07;41.851,06;3730431995728;44.019,46;4960396199015;44.725,30;5624082842631;43.277,88;1107831908526;40.713,95;409330451305;43.413,93;3824392506384
2019-02-08;41.664,85;3715650148896;43.817,04;4939896580383;44.519,24;5600426875003;43.063,02;1103700511413;40.533,95;407708171753;43.215,81;3808234551720
2019-02-09;41.664,85;3715650148896;43.817,04;4939896580383;44.519,24;5600426875003;43.063,02;1103700511413;40.533,95;407708171753;43.215,81;3808234551720
2019-02-10;41.664,85;3715650148896;43.817,04;4939896580383;44.519,24;5600426875003;43.063,02;1103700511413;40.533,95;407708171753;43.215,81;3808234551720
2019-02-11;41.526,13;3705076040216;43.666,31;4925379780809;44.366,08;5585494946442;42.915,16;1101261178388;40.397,27;406585366916;43.067,69;3797031575235
2019-02-12;41.724,30;3725201274434;43.870,18;4952094115956;44.566,77;5615787855559;43.123,34;1108016444150;40.589,89;408687033178;43.274,99;3817613917363
2019-02-13;41.941,08;3748412941138;44.114,81;4986716952640;44.818,09;5652075621229;43.362,24;1116479667122;40.806,59;411414237396;43.513,24;3843422131910
