
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-01;10.222,38;354419388849;10.066,30;713717527661;10.165,28;47786388705;10.185,58;65972432230;10.208,00;930362411718;10.138,22;333989448449;10.302,84;351904131322
2003-01-02;10.252,67;355445986845;10.095,21;715685444998;10.193,07;47915336808;10.204,69;66096242475;10.231,11;932468871476;10.166,24;334868253482;10.328,81;352782856166
2003-01-03;10.254,06;355481235693;10.097,20;715783407652;10.202,45;47954523614;10.208,01;66119954672;10.232,45;932410012178;10.159,69;334617127132;10.328,50;352771118686
2003-01-04;10.254,06;355481235693;10.097,20;715783407652;10.202,45;47954523614;10.208,01;66119954672;10.232,45;932410012178;10.159,69;334617127132;10.328,50;352771118686
2003-01-05;10.254,06;355481235693;10.097,20;715783407652;10.202,45;47954523614;10.208,01;66119954672;10.232,45;932410012178;10.159,69;334617127132;10.328,50;352771118686
2003-01-06;10.278,12;356715125721;10.105,17;716291937406;10.208,53;47978426061;10.226,67;66237737852;10.231,48;932235586447;10.188,63;335712700776;10.330,86;352851803783
2003-01-07;10.298,59;357442331935;10.124,75;717658422989;10.215,23;48006862706;10.249,05;66378476548;10.246,70;933561080622;10.210,12;336540217086;10.343,58;353281534353
2003-01-08;10.347,39;359227243942;10.170,37;720873629905;10.260,80;48234790297;10.295,03;66668980082;10.304,33;938772509125;10.273,82;338628508139;10.412,90;355649209167
2003-01-09;10.314,59;358373057990;10.147,54;719225866958;10.247,20;48178952317;10.268,63;66496752276;10.270,25;935635743365;10.237,93;337425493007;10.373,59;354262848402
2003-01-10;10.303,10;358277566404;10.145,37;719182265532;10.241,86;48190305560;10.263,40;66509099456;10.270,64;935621812567;10.236,77;337626003571;10.374,02;355240219713
2003-01-11;10.303,10;358277566404;10.145,37;719182265532;10.241,86;48190305560;10.263,40;66509099456;10.270,64;935621812567;10.236,77;337626003571;10.374,02;355240219713
2003-01-12;10.303,10;358277566404;10.145,37;719182265532;10.241,86;48190305560;10.263,40;66509099456;10.270,64;935621812567;10.236,77;337626003571;10.374,02;355240219713
2003-01-13;10.345,83;359798757319;10.178,79;721814999621;10.273,38;48342969106;10.297,32;66728025898;10.306,50;940444207462;10.273,23;338819255260;10.407,90;356402589819
2003-01-14;10.365,46;360501085634;10.192,98;723332704146;10.293,30;48435453867;10.315,10;66855834876;10.326,43;942209700384;10.287,61;339317978209;10.424,80;357011932861
2003-01-15;10.398,39;361839867230;10.229,65;726212935554;10.309,41;48544094581;10.349,05;67098323295;10.355,36;944827275418;10.320,21;340524082149;10.460,18;358425189039
2003-01-16;10.418,62;362538878978;10.239,79;726939482205;10.329,49;48637890446;10.363,45;67190283739;10.373,00;946409501853;10.345,97;341374015273;10.489,87;359442368141
2003-01-17;10.416,45;362516838682;10.250,30;727758376175;10.343,02;48716651580;10.359,91;67164957294;10.372,82;946362684522;10.343,92;341303647833;10.489,58;360223161438
2003-01-18;10.416,45;362516838682;10.250,30;727758376175;10.343,02;48716651580;10.359,91;67164957294;10.372,82;946362684522;10.343,92;341303647833;10.489,58;360223161438
2003-01-19;10.416,45;362516838682;10.250,30;727758376175;10.343,02;48716651580;10.359,91;67164957294;10.372,82;946362684522;10.343,92;341303647833;10.489,58;360223161438
2003-01-20;10.423,57;362781085969;10.257,76;728269338117;10.361,54;48911383652;10.368,80;67319643354;10.374,98;946542341411;10.349,01;341462316523;10.494,35;360386327749
2003-01-21;10.398,52;361904485457;10.230,24;726303878198;10.334,57;48782702329;10.332,10;67081399366;10.339,24;943261182206;10.307,65;340085697874;10.450,55;358902426417
2003-01-22;10.394,68;362351790194;10.232,97;726488557025;10.330,74;48849469758;10.329,44;67061912021;10.339,14;943226214599;10.303,68;339948698952;10.449,39;358852855513
2003-01-23;10.385,13;362037459658;10.227,51;726092896496;10.329,27;48918364001;10.321,91;67015562577;10.325,64;941977849104;10.300,41;339830865713;10.437,92;358436034280
2003-01-24;10.349,15;360773526108;10.191,80;723535952486;10.296,42;48860618974;10.280,07;66796615927;10.286,72;939372577768;10.249,65;338151332762;10.400,09;357537893255
2003-01-25;10.349,15;360773526108;10.191,80;723535952486;10.296,42;48860618974;10.280,07;66796615927;10.286,72;939372577768;10.249,65;338151332762;10.400,09;357537893255
2003-01-26;10.349,15;360773526108;10.191,80;723535952486;10.296,42;48860618974;10.280,07;66796615927;10.286,72;939372577768;10.249,65;338151332762;10.400,09;357537893255
2003-01-27;10.370,16;364268521249;10.225,99;730463186577;10.311,71;48975749775;10.304,78;67043199972;10.318,50;942261114111;10.289,66;340978785762;10.431,91;359477283694
2003-01-28;10.336,21;363611636081;10.199,03;728523479294;10.308,19;49014760188;10.273,10;66957765296;10.280,14;938741867925;10.259,76;340191100105;10.398,21;358473884045
2003-01-29;10.284,29;361837496579;10.136,13;727734306866;10.283,10;48864643626;10.212,97;66808058605;10.215,68;933312607790;10.193,37;338771275776;10.336,06;357888222654
2003-01-30;10.292,22;363442826599;10.139,24;728007882129;10.247,40;48754447674;10.214,47;66991841864;10.224,66;945821178667;10.193,03;338752974419;10.351,19;359261511779
2003-01-31;10.266,71;363557299840;10.117,08;731482004726;10.217,12;48589861557;10.184,63;66893725089;10.206,26;944084177083;10.168,09;340328824595;10.328,13;359396750169
2003-02-01;10.266,71;363557299840;10.117,08;731482004726;10.217,12;48589861557;10.184,63;66893725089;10.206,26;944084177083;10.168,09;340328824595;10.328,13;359396750169
2003-02-02;10.266,71;363557299840;10.117,08;731482004726;10.217,12;48589861557;10.184,63;66893725089;10.206,26;944084177083;10.168,09;340328824595;10.328,13;359396750169
2003-02-03;10.281,23;364046105668;10.145,05;733480807412;10.230,92;48655502517;10.214,39;67088756343;10.229,92;946707597116;10.192,90;341154148914;10.348,67;360111578410
2003-02-04;10.299,36;364677124647;10.151,11;733904188337;10.242,32;48708660311;10.222,78;67143071184;10.237,95;947421622314;10.192,38;341130604899;10.359,51;360474621310
2003-02-05;10.349,05;366425233416;10.210,92;738220120067;10.306,20;49011271642;10.281,44;67535103754;10.294,15;952595870578;10.258,44;343616388700;10.416,40;362455084792
2003-02-06;10.350,94;366541713759;10.214,74;738475431403;10.301,72;48988885856;10.278,14;67513058613;10.288,42;952058252903;10.258,10;343601091223;10.412,83;362330203671
2003-02-07;10.359,24;366821435171;10.214,61;738458657539;10.299,07;48936322073;10.289,66;67587993296;10.292,19;952388847917;10.249,02;343552827429;10.417,95;363031001852
2003-02-08;10.359,24;366821435171;10.214,61;738458657539;10.299,07;48936322073;10.289,66;67587993296;10.292,19;952388847917;10.249,02;343552827429;10.417,95;363031001852
2003-02-09;10.359,24;366821435171;10.214,61;738458657539;10.299,07;48936322073;10.289,66;67587993296;10.292,19;952388847917;10.249,02;343552827429;10.417,95;363031001852
2003-02-10;10.327,19;365728257127;10.180,51;735957151100;10.268,32;48787278444;10.251,96;67340824775;10.263,04;949673042873;10.213,84;342364286032;10.391,92;362123529367
2003-02-11;10.325,63;365682572429;10.186,56;736462537551;10.262,98;48772225207;10.253,64;67351821948;10.267,51;950059649557;10.217,77;342729170400;10.392,57;362368592689
2003-02-12;10.330,98;365864329607;10.184,86;736338230955;10.261,57;48772140962;10.252,33;67382929236;10.274,41;950679448380;10.217,03;342698280416;10.395,02;362477644500
2003-02-13;10.341,40;366286598317;10.202,23;737799719947;10.284,64;48881456899;10.270,47;67510112410;10.289,56;952065498866;10.241,31;343816935081;10.415,10;363240934838
2003-02-14;10.328,95;365864940332;10.188,52;736964078711;10.261,36;48778123598;10.250,49;67375680749;10.263,47;949637307915;10.211,63;342817123682;10.395,85;363226170105
2003-02-15;10.328,95;365864940332;10.188,52;736964078711;10.261,36;48778123598;10.250,49;67375680749;10.263,47;949637307915;10.211,63;342817123682;10.395,85;363226170105
2003-02-16;10.328,95;365864940332;10.188,52;736964078711;10.261,36;48778123598;10.250,49;67375680749;10.263,47;949637307915;10.211,63;342817123682;10.395,85;363226170105
2003-02-17;10.317,89;366126553972;10.169,96;736017486929;10.249,22;48758055186;10.230,01;67241051070;10.245,93;949057966707;10.191,24;342240760133;10.376,57;362552771948
2003-02-18;10.303,14;365588102534;10.150,06;734551476365;10.237,30;48701465120;10.212,10;67122207593;10.230,40;947598391871;10.166,51;341404099557;10.361,00;361980222616
2003-02-19;10.314,89;366027150473;10.175,85;736689411266;10.264,47;48830391513;10.240,71;67309851075;10.252,01;949589156410;10.203,53;343118904982;10.377,03;362539942563
2003-02-20;10.364,31;368472300123;10.232,63;740781209029;10.279,13;48965860344;10.285,97;67606626114;10.297,98;953835413875;10.246,78;344567580025;10.427,36;364272950775
2003-02-21;10.358,56;368419384934;10.224,86;740229778013;10.271,48;48973841258;10.273,54;67524462310;10.288,86;952970244549;10.247,77;345125776809;10.420,70;364605724325
2003-02-22;10.358,56;368419384934;10.224,86;740229778013;10.271,48;48973841258;10.273,54;67524462310;10.288,86;952970244549;10.247,77;345125776809;10.420,70;364605724325
2003-02-23;10.358,56;368419384934;10.224,86;740229778013;10.271,48;48973841258;10.273,54;67524462310;10.288,86;952970244549;10.247,77;345125776809;10.420,70;364605724325
2003-02-24;10.355,97;369018245368;10.231,28;740679411397;10.278,43;49144886224;10.278,56;67725033540;10.295,15;953562951007;10.247,93;345124802916;10.424,97;366367389298
2003-02-25;10.385,22;370594253814;10.252,19;745920323404;10.303,91;49380531355;10.304,17;68000477701;10.312,21;955128786588;10.271,15;345960684698;10.445,38;367088670584
2003-02-26;10.364,68;370286890365;10.244,64;748499082227;10.297,14;49041610131;10.296,72;67409286345;10.302,21;956422324671;10.261,06;346638596395;10.435,22;368720319142
2003-02-27;10.336,85;370179272702;10.219,18;746644332984;10.288,60;49038365098;10.265,76;67561783120;10.282,39;965141249880;10.227,81;345510422244;10.416,17;368074942068
2003-02-28;10.324,59;370769913185;10.213,80;750735560275;10.295,67;49081599364;10.263,76;67548498221;10.282,47;965136837283;10.226,21;347826123135;10.408,39;369597254286
2003-03-01;10.324,59;370769913185;10.213,80;750735560275;10.295,67;49081599364;10.263,76;67548498221;10.282,47;965136837283;10.226,21;347826123135;10.408,39;369597254286
