
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-01-01;13.810,63;1074370419157;13.177,59;1722237055879;13.210,43;241449323277;13.468,55;2236917044428;13.348,55;796006764489;13.788,15;904537023040
2005-01-02;13.810,63;1074370419157;13.177,59;1722237055879;13.210,43;241449323277;13.468,55;2236917044428;13.348,55;796006764489;13.788,15;904537023040
2005-01-03;13.816,58;1074953693817;13.187,47;1723397498643;13.217,92;241585014740;13.473,05;2237420697366;13.357,65;796425864775;13.795,16;904996561647
2005-01-04;13.862,17;1079148042981;13.225,06;1729162215877;13.259,85;242351337865;13.515,57;2244339406799;13.395,00;798686751399;13.843,05;908061539823
2005-01-05;13.874,04;1079996368147;13.217,91;1727846313223;13.270,13;242429962324;13.522,09;2245328635509;13.395,47;798672116136;13.853,98;908735184294
2005-01-06;13.777,14;1073124972253;13.140,82;1719927519733;13.186,62;240893509263;13.441,68;2231875187630;13.314,74;793843870334;13.763,17;902897689727
2005-01-07;13.674,42;1065528746891;13.032,90;1705761966003;13.078,77;238970624730;13.333,10;2213833873337;13.205,61;787199103962;13.647,85;895439346024
2005-01-08;13.674,42;1065528746891;13.032,90;1705761966003;13.078,77;238970624730;13.333,10;2213833873337;13.205,61;787199103962;13.647,85;895439346024
2005-01-09;13.674,42;1065528746891;13.032,90;1705761966003;13.078,77;238970624730;13.333,10;2213833873337;13.205,61;787199103962;13.647,85;895439346024
2005-01-10;13.641,70;1063551437757;13.002,47;1702694084762;13.049,89;238432727266;13.303,69;2208828064198;13.176,24;785407702482;13.619,50;893636355246
2005-01-11;13.663,40;1065284333102;13.031,64;1706471842186;13.072,05;238842159376;13.327,84;2203989847951;13.194,25;786768722055;13.638,59;895278543636
2005-01-12;13.666,94;1065893317728;13.032,37;1706268047271;13.070,40;238812466625;13.329,09;2204142505165;13.196,47;787080446807;13.639,80;895224603339
2005-01-13;13.661,41;1065801955260;13.023,98;1706137871392;13.055,05;238565572058;13.309,14;2200818801890;13.183,06;786252882384;13.625,16;894206022451
2005-01-14;13.639,00;1064404449247;12.995,02;1702768347032;13.030,23;238101622644;13.287,07;2197912949321;13.158,62;785072795015;13.599,49;893857875810
2005-01-15;13.639,00;1064404449247;12.995,02;1702768347032;13.030,23;238101622644;13.287,07;2197912949321;13.158,62;785072795015;13.599,49;893857875810
2005-01-16;13.639,00;1064404449247;12.995,02;1702768347032;13.030,23;238101622644;13.287,07;2197912949321;13.158,62;785072795015;13.599,49;893857875810
2005-01-17;13.704,87;1079653617444;13.060,77;1707661254504;13.100,89;231784187134;13.352,65;2214531044060;13.225,85;787493833307;13.669,61;897345138738
2005-01-18;13.755,22;1084153019937;13.109,75;1714119286668;13.146,64;239086329464;13.398,91;2222132796425;13.276,53;790489470363;13.718,70;901038220809
2005-01-19;13.788,18;1086977132146;13.147,52;1719024643696;13.184,44;239772043752;13.433,16;2228373831373;13.313,35;792687224044;13.755,59;903725689977
2005-01-20;13.746,38;1084933540021;13.106,27;1719567769039;13.140,08;238966988846;13.388,66;2221246567034;13.272,43;790242524549;13.712,96;901086083722
2005-01-21;13.793,76;1089710018186;13.147,19;1728899646213;13.183,93;239759292647;13.428,66;2227596162264;13.315,07;792772196853;13.755,55;904086828645
2005-01-22;13.793,76;1089710018186;13.147,19;1728899646213;13.183,93;239759292647;13.428,66;2227596162264;13.315,07;792772196853;13.755,55;904086828645
2005-01-23;13.793,76;1089710018186;13.147,19;1728899646213;13.183,93;239759292647;13.428,66;2227596162264;13.315,07;792772196853;13.755,55;904086828645
2005-01-24;13.731,68;1086021374908;13.083,07;1720381452690;13.115,70;238561496100;13.359,72;2220025343289;13.245,21;791711549374;13.687,57;899616339756
2005-01-25;13.720,17;1085680621131;13.073,58;1719414659265;13.108,07;238448404527;13.353,79;2219674520542;13.236,09;791612485279;13.673,41;899029448101
2005-01-26;13.796,35;1092210384851;13.136,49;1730066372394;13.176,77;239910983398;13.420,63;2233990727849;13.304,19;795675463057;13.743,85;905662751986
2005-01-27;13.803,77;1093803511262;13.151,56;1733715645792;13.190,65;240163227419;13.438,05;2238001209794;13.322,00;798160986475;13.761,85;907050132792
2005-01-28;13.881,15;1100350251693;13.214,55;1741928909997;13.255,69;241346354730;13.499,48;2252645236248;13.388,83;802130899522;13.831,83;911697251024
2005-01-29;13.881,15;1100350251693;13.214,55;1741928909997;13.255,69;241346354730;13.499,48;2252645236248;13.388,83;802130899522;13.831,83;911697251024
2005-01-30;13.881,15;1100350251693;13.214,55;1741928909997;13.255,69;241346354730;13.499,48;2252645236248;13.388,83;802130899522;13.831,83;911697251024
2005-01-31;13.900,63;1103099644025;13.235,32;1745301880521;13.279,87;242173321564;13.528,39;2261263637374;13.407,29;800903283212;13.847,95;911088479798
2005-02-01;13.897,70;1102844193945;13.226,25;1744104034135;13.271,58;242021954679;13.519,67;2259765089487;13.398,28;800341072657;13.840,25;910606485717
2005-02-02;13.938,23;1106141905078;13.266,61;1749439343642;13.314,30;242117936233;13.559,24;2266461242408;13.439,79;802888072180;13.881,33;913314190954
2005-02-03;13.953,24;1107891571144;13.273,26;1751795782125;13.323,01;242269575183;13.577,41;2269807560064;13.452,51;803637519494;13.893,51;914100517701
2005-02-04;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-05;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-06;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-07;13.946,34;1108371172405;13.264,48;1750829438232;13.319,32;242194997818;13.576,71;2269566579809;13.447,07;803347091533;13.892,47;913970427726
2005-02-08;14.013,14;1114409834708;13.320,43;1757940114173;13.373,91;243404573628;13.635,28;2279431373266;13.505,07;807632240776;13.962,55;918942268756
2005-02-09;14.066,30;1118813162500;13.377,81;1765595320196;13.426,92;244363506262;13.690,58;2279702954823;13.560,45;810994417354;14.012,45;922306324640
2005-02-10;14.069,72;1119576768610;13.390,72;1766722282802;13.433,84;244487848512;13.696,29;2280485642905;13.569,44;811525961820;14.020,05;922991827588
2005-02-11;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-12;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-13;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-14;14.005,18;1114775699123;13.324,33;1759633226486;13.368,23;243306276229;13.633,31;2269906660710;13.505,49;807912245271;13.956,97;919147206702
2005-02-15;14.040,28;1118004179448;13.353,85;1764419552902;13.403,76;243959809195;13.670,53;2276120517237;13.538,85;809898492338;13.990,30;921350947792
