
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-01-01;15.424,61;1064299880571;15.417,23;1437448440950;14.729,41;2144118671082;14.663,97;259226481322;14.922,40;2590605953938;14.874,10;894427517682
2006-01-02;15.457,85;1066593433824;15.443,70;1439891959913;14.768,69;2151278584180;14.701,13;259883332357;14.956,14;2596162169393;14.912,94;896630770387
2006-01-03;15.459,18;1067096161112;15.443,18;1441614841530;14.776,44;2152991431048;14.706,78;256752305364;14.959,38;2589312486000;14.919,05;892929903280
2006-01-04;15.483,50;1068734050179;15.462,53;1443350820146;14.795,94;2155792117839;14.722,08;256996412621;14.975,87;2592049869228;14.940,92;894158665888
2006-01-05;15.604,02;1076993815577;15.602,88;1456890373896;14.913,70;2173241470524;14.843,59;261807851365;15.096,74;2612937789143;15.066,75;902052338640
2006-01-06;15.746,75;1087087119444;15.737,41;1470603353253;15.041,87;2191640254793;14.977,77;264166391964;15.232,98;2636313905758;15.203,63;910504435763
2006-01-07;15.746,75;1087087119444;15.737,41;1470603353253;15.041,87;2191640254793;14.977,77;264166391964;15.232,98;2636313905758;15.203,63;910504435763
2006-01-08;15.746,75;1087087119444;15.737,41;1470603353253;15.041,87;2191640254793;14.977,77;264166391964;15.232,98;2636313905758;15.203,63;910504435763
2006-01-09;15.845,26;1093892990428;15.824,80;1478990893457;15.139,69;2206447231201;15.071,78;265822119583;15.321,87;2652297597017;15.301,22;916296229614
2006-01-10;15.906,07;1098541986429;15.889,29;1485213957870;15.196,55;2214850220112;15.130,54;266853622634;15.384,21;2663369303563;15.359,43;919758235022
2006-01-11;15.952,45;1102028154003;15.939,31;1490239116426;15.240,27;2221323132467;15.174,39;267662124586;15.429,67;2670855726891;15.409,99;922823613855
2006-01-12;15.927,28;1100172132783;15.914,06;1488459597331;15.221,03;2219049642761;15.153,88;267297308670;15.409,01;2667042446069;15.386,88;921349771118
2006-01-13;15.979,17;1102856849526;15.960,88;1493570904910;15.263,20;2225079938231;15.200,50;268125331423;15.457,35;2676016386032;15.429,14;924047455319
2006-01-14;15.979,17;1102856849526;15.960,88;1493570904910;15.263,20;2225079938231;15.200,50;268125331423;15.457,35;2676016386032;15.429,14;924047455319
