
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-01-01;20.779,75;2692871458609;20.910,75;2412753646633;20.851,94;3341083984355;20.809,77;289623885649;20.504,37;3494795410727
2010-01-02;20.779,75;2692871458609;20.910,75;2412753646633;20.851,94;3341083984355;20.809,77;289623885649;20.504,37;3494795410727
2010-01-03;20.779,75;2692871458609;20.910,75;2412753646633;20.851,94;3341083984355;20.809,77;289623885649;20.504,37;3494795410727
2010-01-04;20.819,28;2697953911582;20.957,07;2418509462432;20.887,93;3347263989660;20.842,78;290082703754;20.544,57;3501398075866
2010-01-05;20.975,49;2721386455898;21.105,20;2435781951142;21.044,87;3373360185324;20.976,50;289489959486;20.696,05;3514522307775
2010-01-06;21.132,51;2741936869682;21.285,71;2456728219757;21.205,06;3399465641809;21.130,73;291706865938;20.852,74;3541558992700
2010-01-07;21.134,19;2742994225533;21.287,26;2458590380612;21.207,21;3400227803588;21.137,55;293554147014;20.854,14;3541950543362
2010-01-08;21.091,60;2740082722323;21.238,99;2453510534834;21.174,92;3395925083849;21.104,17;293079062591;20.811,25;3535840790752
2010-01-09;21.091,60;2740082722323;21.238,99;2453510534834;21.174,92;3395925083849;21.104,17;293079062591;20.811,25;3535840790752
2010-01-10;21.091,60;2740082722323;21.238,99;2453510534834;21.174,92;3395925083849;21.104,17;293079062591;20.811,25;3535840790752
2010-01-11;21.142,69;2747329356275;21.276,83;2458616065132;21.229,72;3406733296032;21.153,37;293806042518;20.860,00;3545846107585
2010-01-12;21.218,35;2758715892616;21.345,39;2468106729634;21.312,89;3421056314080;21.233,87;295017006460;20.932,96;3558920769360
2010-01-13;21.136,65;2749523452118;21.255,10;2460325984147;21.237,81;3412463979874;21.163,35;294212113744;20.851,05;3546091215355
2010-01-14;21.107,53;2749206727009;21.218,46;2458965124899;21.202,76;3411227079568;21.139,84;294310641357;20.826,49;3545609632653
2010-01-15;21.183,22;2765394067144;21.291,02;2476734754245;21.283,92;3428272739337;21.197,17;294488906855;20.887,71;3557310045391
2010-01-16;21.183,22;2765394067144;21.291,02;2476734754245;21.283,92;3428272739337;21.197,17;294488906855;20.887,71;3557310045391
2010-01-17;21.183,22;2765394067144;21.291,02;2476734754245;21.283,92;3428272739337;21.197,17;294488906855;20.887,71;3557310045391
2010-01-18;21.107,48;2762903283110;21.211,50;2469936857598;21.193,72;3422240473963;21.120,21;294150717588;20.807,92;3555033535202
2010-01-19;21.106,63;2764315264735;21.207,06;2470570436262;21.195,03;3422893856170;21.123,56;294260659596;20.810,53;3555751167544
2010-01-20;21.155,92;2772127392561;21.255,99;2476910240312;21.234,70;3430920318408;21.167,30;294939405697;20.859,05;3564191901595
2010-01-21;21.071,05;2761175662391;21.190,00;2469510125622;21.149,18;3417605747675;21.084,73;293802465888;20.764,01;3548245722207
2010-01-22;20.927,11;2744735058147;21.046,50;2454049393122;21.006,54;3395160181069;20.952,79;292041660233;20.613,55;3522832181411
2010-01-23;20.927,11;2744735058147;21.046,50;2454049393122;21.006,54;3395160181069;20.952,79;292041660233;20.613,55;3522832181411
2010-01-24;20.927,11;2744735058147;21.046,50;2454049393122;21.006,54;3395160181069;20.952,79;292041660233;20.613,55;3522832181411
2010-01-25;20.786,53;2726833104334;20.900,58;2438602496794;20.865,15;3372618444258;20.808,65;290124552191;20.476,29;3500471051406
2010-01-26;20.794,37;2729011421714;20.906,76;2440066292058;20.870,06;3374409823191;20.815,79;290324354070;20.480,71;3502298806805
2010-01-27;20.695,25;2716349817113;20.807,58;2428714001097;20.768,79;3359425949178;20.719,07;289038431969;20.379,78;3485489082117
2010-01-28;20.710,82;2718863204617;20.824,37;2431731151184;20.784,55;3362315164687;20.697,34;288753827938;20.387,95;3487067699170
2010-01-29;20.813,14;2726918552807;20.932,41;2443962038733;20.879,92;3369439347956;20.775,48;288370073711;20.480,42;3503483417232
2010-01-30;20.813,14;2726918552807;20.932,41;2443962038733;20.879,92;3369439347956;20.775,48;288370073711;20.480,42;3503483417232
2010-01-31;20.813,14;2726918552807;20.932,41;2443962038733;20.879,92;3369439347956;20.775,48;288370073711;20.480,42;3503483417232
2010-02-01;20.663,54;2705193922741;20.795,10;2429795538701;20.737,13;3345737960622;20.667,27;284784569878;20.354,00;3482541569508
2010-02-02;20.799,16;2722790158168;20.900,02;2442072834736;20.868,45;3367547500820;20.754,35;286000848867;20.476,19;3488978784384
2010-02-03;20.935,08;2740954872424;21.042,65;2458676424463;21.009,73;3391112318680;20.887,16;289561300012;20.613,66;3512275983957
2010-02-04;21.095,54;2762090161239;21.201,82;2477946496181;21.168,32;3417368463101;21.017,84;291393735025;20.749,94;3535913282013
2010-02-05;20.902,91;2737188067886;21.016,07;2456561516828;20.958,68;3383953747789;20.789,54;288257277274;20.539,30;3500512422690
2010-02-06;20.902,91;2737188067886;21.016,07;2456561516828;20.958,68;3383953747789;20.789,54;288257277274;20.539,30;3500512422690
2010-02-07;20.902,91;2737188067886;21.016,07;2456561516828;20.958,68;3383953747789;20.789,54;288257277274;20.539,30;3500512422690
2010-02-08;20.553,69;2692216361270;20.660,02;2414977691790;20.587,82;3324832655265;20.455,41;283712036342;20.198,16;3443177719842
2010-02-09;20.506,49;2686100495812;20.625,68;2411589178838;20.554,51;3320716980650;20.421,50;283207071270;20.161,13;3437223931736
2010-02-10;20.680,21;2709249748582;20.793,77;2430713041803;20.737,55;3350423389870;20.590,97;285580198322;20.342,68;3468309377577
