
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-01-01;24.113,57;2906714869177;24.852,22;2562110957015;24.836,07;3762273917700;24.087,37;177920230936;24.570,49;332421219362;24.017,53;3666370840113
2013-01-02;24.213,19;2918495331487;24.950,21;2571408104272;24.943,42;3778481438468;24.176,71;178572891587;24.668,81;333739323886;24.126,20;3682754582022
2013-01-03;24.359,32;2934362499657;25.101,07;2586122301388;25.062,59;3792788248683;24.315,34;182099674345;24.783,83;331684222092;24.240,32;3691951064392
2013-01-04;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-05;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-06;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-07;24.413,63;2941339893444;25.176,90;2592610047287;25.131,05;3802788596401;24.380,33;182768622507;24.832,46;334621010428;24.270,59;3696246391986
2013-01-08;24.382,45;2953734787341;25.154,30;2618152128395;25.107,69;3828885302355;24.352,14;183329762097;24.798,52;334355222663;24.231,39;3695828545315
2013-01-09;24.326,30;2958026355911;25.110,83;2650589438568;25.057,67;3855686587575;24.301,62;184209452737;24.752,45;333993487633;24.179,41;3697966705237
2013-01-10;24.390,70;2971308405727;25.169,09;2685689046462;25.118,75;3902732113391;24.365,06;185906771108;24.812,68;334945006335;24.240,08;3710801244514
2013-01-11;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-12;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-13;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-14;24.475,33;2988276826954;25.259,59;2710525171723;25.210,14;3934696145158;24.436,89;189870757371;24.899,02;336789087150;24.342,98;3739808761123
2013-01-15;24.520,26;3003608169448;25.305,54;2721044313589;25.248,60;3950828580066;24.484,64;197340802740;24.948,94;335967385900;24.395,18;3752106906490
2013-01-16;24.554,85;3011469211967;25.339,08;2729266226540;25.286,50;3969440917806;24.520,54;200319168006;24.988,60;338869883377;24.435,56;3764963200379
2013-01-17;24.577,82;3015379021263;25.362,18;2735468504855;25.306,03;3975504418003;24.545,39;200792523459;25.009,80;339214118336;24.453,88;3768369915065
2013-01-18;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
2013-01-19;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
2013-01-20;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
2013-01-21;24.648,88;3026507417640;25.447,89;2748280571667;25.389,59;3992773833721;24.636,92;201985722888;25.087,11;340260527923;24.515,95;3778513293021
2013-01-22;24.669,74;3030762556341;25.468,12;2752715920787;25.409,26;3996961289448;24.658,76;202431091759;25.109,55;340668875764;24.535,74;3781936273283
2013-01-23;24.684,78;3034542106066;25.483,83;2756381658436;25.423,40;4001223695927;24.669,68;202704450873;25.120,87;340862985309;24.547,63;3784631523204
