
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-01-01;9.154,04;221103292382;9.764,49;2912479623202;9.180,70;4017619004376;17.387,35;324007583542;9.455,48;465943315809;8.760,39;5800981758097;8.750,85;2293119407792;9.593,08;2057750490646
2000-01-02;9.154,04;221103292382;9.764,49;2912479623202;9.180,70;4017619004376;17.387,35;324007583542;9.455,48;465943315809;8.760,39;5800981758097;8.750,85;2293119407792;9.593,08;2057750490646
2000-01-03;9.178,66;221718390863;9.789,00;2919289727046;9.203,47;4027366489951;17.430,83;324607098605;9.477,92;467047434957;8.780,84;5814061769556;8.772,88;2297531117500;9.619,47;2062980163893
2000-01-04;9.199,81;222236976801;9.812,33;2924832967265;9.227,31;4036725530820;17.470,81;325349399622;9.496,76;467950236000;8.797,23;5822863129377;8.791,28;2301329131025;9.639,89;2066466127745
2000-01-05;9.218,70;221947232490;9.832,61;2929945711882;9.246,37;4044896661520;17.492,24;325760334194;9.512,46;468053914265;8.814,38;5832306954583;8.809,16;2304703072609;9.658,04;2069630777458
2000-01-06;9.228,25;222164419667;9.843,94;2933184921992;9.259,22;4050357516436;17.506,99;325644976006;9.521,53;468489477640;8.822,85;5836321172071;8.813,94;2303379875738;9.662,97;2069807482549
2000-01-07;9.206,10;221631787753;9.805,46;2920210298211;9.221,67;4033314529978;17.449,86;324593524740;9.493,57;467136157990;8.793,89;5815105023209;8.785,14;2295540646478;9.628,73;2060744179567
2000-01-08;9.206,10;221631787753;9.805,46;2920210298211;9.221,67;4033314529978;17.449,86;324593524740;9.493,57;467136157990;8.793,89;5815105023209;8.785,14;2295540646478;9.628,73;2060744179567
2000-01-09;9.206,10;221631787753;9.805,46;2920210298211;9.221,67;4033314529978;17.449,86;324593524740;9.493,57;467136157990;8.793,89;5815105023209;8.785,14;2295540646478;9.628,73;2060744179567
2000-01-10;9.197,90;221404495121;9.793,08;2916409966103;9.208,18;4026750767803;17.433,43;324288036563;9.481,45;466518783327;8.784,64;5808672204675;8.771,39;2291891387174;9.612,70;2056663006853
2000-01-11;9.189,54;221206859636;9.786,24;2911199570695;9.196,80;4021502380920;17.420,36;324102778408;9.470,29;465986574623;8.777,25;5797852078126;8.766,94;2290856737351;9.607,78;2054720323104
2000-01-12;9.191,53;221101992715;9.806,32;2916225107454;9.212,21;4021503666764;17.455,55;324703783824;9.482,43;465900436169;8.788,89;5806807696294;8.778,08;2293976377218;9.621,55;2057538013802
