
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2002-01-01;11.655,83;3652334182223;10.996,00;5221980207848;20.853,56;638792846659;11.354,84;631397452520;10.477,64;7302552642421;10.507,40;2958811140434;11.471,82;2530987051476
2002-01-02;11.662,05;3653025088782;11.004,19;5225157413827;20.862,01;639051627540;11.362,75;631689791837;10.482,82;7305038028600;10.514,95;2960236457610;11.479,39;2532619538055
2002-01-03;11.706,71;3665897744681;11.041,22;5242755612488;20.919,68;639725161451;11.391,78;632574863047;10.512,31;7324003276705;10.547,11;2969218648274;11.510,22;2538315718791
2002-01-04;11.679,24;3656686546390;11.021,03;5229221088842;20.878,37;638429135096;11.376,48;631732410838;10.490,39;7307901016211;10.528,45;2963142350076;11.490,69;2533827366828
2002-01-05;11.679,24;3656686546390;11.021,03;5229221088842;20.878,37;638429135096;11.376,48;631732410838;10.490,39;7307901016211;10.528,45;2963142350076;11.490,69;2533827366828
2002-01-06;11.679,24;3656686546390;11.021,03;5229221088842;20.878,37;638429135096;11.376,48;631732410838;10.490,39;7307901016211;10.528,45;2963142350076;11.490,69;2533827366828
2002-01-07;11.690,77;3659503413191;11.029,73;5233352258763;20.878,21;638330704303;11.380,71;631739670212;10.499,20;7313099078123;10.540,68;2964729414589;11.501,25;2531557423869
2002-01-08;11.731,18;3671638862757;11.062,15;5247551183939;20.926,84;639061888413;11.408,32;633246042605;10.528,60;7326185196792;10.572,66;2973279302068;11.535,16;2539041471365
2002-01-09;11.762,27;3680940329437;11.090,28;5261025407061;20.966,76;640306133189;11.433,93;634726599793;10.547,53;7338080353201;10.598,72;2977776392386;11.564,88;2545053316607
2002-01-10;11.778,41;3683735240383;11.108,27;5259777849788;20.995,41;641241438609;11.447,37;634505344012;10.566,70;7348960886885;10.616,40;2982496846531;11.582,90;2547506601534
2002-01-11;11.796,55;3690152294773;11.131,72;5273162871822;21.039,05;642416916480;11.463,58;635430030151;10.587,02;7362103157857;10.638,20;2988736541738;11.604,68;2552272113457
2002-01-12;11.796,55;3690152294773;11.131,72;5273162871822;21.039,05;642416916480;11.463,58;635430030151;10.587,02;7362103157857;10.638,20;2988736541738;11.604,68;2552272113457
2002-01-13;11.796,55;3690152294773;11.131,72;5273162871822;21.039,05;642416916480;11.463,58;635430030151;10.587,02;7362103157857;10.638,20;2988736541738;11.604,68;2552272113457
2002-01-14;11.810,80;3694966206805;11.147,35;5279841701521;21.070,78;643554695848;11.476,44;636197918103;10.602,13;7372576858064;10.650,95;2992460850871;11.620,37;2556027839831
2002-01-15;11.776,33;3683860592615;11.105,07;5259637319135;21.007,16;641687036505;11.439,34;634199138613;10.559,20;7341959457979;10.608,89;2981568274189;11.576,65;2546546797711
2002-01-16;11.732,92;3670327647951;11.065,59;5241020954066;20.946,86;639898649972;11.406,04;632440205986;10.521,52;7316591133203;10.570,75;2970855706420;11.538,63;2538256464572
2002-01-17;11.761,30;3679502094212;11.101,71;5258403096760;20.991,10;641173495705;11.431,15;633915772867;10.556,75;7340118111210;10.603,39;2980365406289;11.572,33;2546376171469
2002-01-18;11.731,73;3670777448124;11.066,03;5241052670760;20.953,34;640047465998;11.402,54;632458070662;10.526,98;7319983238279;10.568,62;2971957932765;11.535,47;2539708417825
2002-01-19;11.731,73;3670777448124;11.066,03;5241052670760;20.953,34;640047465998;11.402,54;632458070662;10.526,98;7319983238279;10.568,62;2971957932765;11.535,47;2539708417825
2002-01-20;11.731,73;3670777448124;11.066,03;5241052670760;20.953,34;640047465998;11.402,54;632458070662;10.526,98;7319983238279;10.568,62;2971957932765;11.535,47;2539708417825
2002-01-21;11.735,46;3672005191719;11.069,96;5243087325602;20.960,40;640118899951;11.410,45;633054064391;10.530,75;7322248947002;10.566,44;2972747061068;11.538,12;2541333386761
2002-01-22;11.730,30;3672103840205;11.067,44;5241498612718;20.960,66;640185291999;11.409,40;632886247853;10.529,23;7321129570255;10.562,17;2974276088257;11.534,72;2542497672217
2002-01-23;11.717,60;3667863922558;11.059,82;5238266076328;20.947,94;639790351504;11.403,18;632609926592;10.522,38;7316346459029;10.555,00;2974558468478;11.528,63;2543495455585
2002-01-24;11.725,86;3670162367208;11.066,87;5241419278538;20.944,72;639735106706;11.410,35;633499113824;10.530,67;7321831613658;10.560,46;2977877986660;11.536,47;2546828201338
2002-01-25;11.746,46;3682958146007;11.088,58;5264603211858;20.989,15;642196654195;11.433,34;634878707369;10.551,39;7336271809200;10.581,37;2985705022621;11.559,84;2553426467253
2002-01-26;11.746,46;3682958146007;11.088,58;5264603211858;20.989,15;642196654195;11.433,34;634878707369;10.551,39;7336271809200;10.581,37;2985705022621;11.559,84;2553426467253
2002-01-27;11.746,46;3682958146007;11.088,58;5264603211858;20.989,15;642196654195;11.433,34;634878707369;10.551,39;7336271809200;10.581,37;2985705022621;11.559,84;2553426467253
2002-01-28;11.734,70;3684097912586;11.081,98;5260798603391;20.981,92;642203160429;11.430,19;635145865829;10.551,12;7335547962250;10.578,73;2986091512548;11.554,85;2552919354256
2002-01-29;11.742,86;3689339618456;11.090,99;5265196962340;20.976,76;642157092721;11.432,03;635788186909;10.553,41;7336359746318;10.586,78;2988850981191;11.561,71;2555693061829
