
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-01-01;15.462,72;2712485424891;14.626,10;4255007105566;27.690,27;759600936251;13.879,78;5768722230689;13.836,92;2258212401455;15.329,53;1984847910600
2005-01-02;15.462,72;2712485424891;14.626,10;4255007105566;27.690,27;759600936251;13.879,78;5768722230689;13.836,92;2258212401455;15.329,53;1984847910600
2005-01-03;15.467,74;2712904992334;14.631,67;4256344734122;27.703,41;759954963001;13.884,33;5770213088241;13.841,34;2258696841798;15.333,38;1985386935455
2005-01-04;15.497,41;2716698780441;14.656,62;4261733654389;27.745,93;761020034935;13.908,08;5779535496576;13.859,69;2261225197916;15.361,95;1988538178092
2005-01-05;15.507,43;2717172196868;14.653,53;4259619797723;27.767,71;761456681602;13.920,85;5784545027398;13.866,48;2262311744012;15.379,07;1990128524744
2005-01-06;15.439,73;2703984124774;14.600,79;4242189350068;27.667,96;758670829279;13.868,13;5761801218840;13.817,82;2254362935217;15.316,16;1980664020963
2005-01-07;15.360,68;2688326861904;14.519,51;4217416234887;27.521,82;754438794819;13.798,90;5732712272473;13.745,81;2242151541847;15.232,51;1969395356228
2005-01-08;15.360,68;2688326861904;14.519,51;4217416234887;27.521,82;754438794819;13.798,90;5732712272473;13.745,81;2242151541847;15.232,51;1969395356228
2005-01-09;15.360,68;2688326861904;14.519,51;4217416234887;27.521,82;754438794819;13.798,90;5732712272473;13.745,81;2242151541847;15.232,51;1969395356228
2005-01-10;15.338,71;2683240443428;14.491,68;4210319333080;27.476,39;753032346950;13.769,90;5717443670828;13.722,30;2237776088003;15.206,20;1965573402640
2005-01-11;15.354,01;2685265803623;14.511,10;4216107841273;27.503,43;753686050744;13.785,62;5723512226950;13.734,05;2238573224278;15.219,35;1967917902275
2005-01-12;15.351,44;2683384793209;14.507,36;4212701472068;27.495,80;753478090238;13.784,87;5722658791932;13.731,49;2238900381506;15.216,96;1966890642573
2005-01-13;15.346,51;2682716049028;14.498,78;4208881828798;27.474,34;753025092458;13.777,27;5718877450778;13.721,28;2237164353503;15.206,68;1965529727790
2005-01-14;15.329,72;2679495563079;14.478,12;4203141550374;27.430,83;751815809349;13.762,86;5715332431477;13.702,08;2237136817755;15.183,37;1963780299901
2005-01-15;15.329,72;2679495563079;14.478,12;4203141550374;27.430,83;751815809349;13.762,86;5715332431477;13.702,08;2237136817755;15.183,37;1963780299901
2005-01-16;15.329,72;2679495563079;14.478,12;4203141550374;27.430,83;751815809349;13.762,86;5715332431477;13.702,08;2237136817755;15.183,37;1963780299901
2005-01-17;15.382,95;2689752406992;14.529,46;4208859272732;27.528,57;738804514693;13.809,63;5729928239077;13.749,46;2236117838066;15.237,62;1966096947808
2005-01-18;15.431,16;2697927082083;14.576,68;4223126001919;27.614,44;749724335829;13.850,06;5746408845857;13.793,12;2245451898184;15.285,91;1973453429383
2005-01-19;15.460,47;2702199667339;14.609,31;4231978278885;27.681,06;751542981320;13.879,25;5756699145227;13.824,65;2252213724581;15.317,28;1976336990841
2005-01-20;15.434,79;2698767491830;14.581,57;4231489270155;27.623,69;749977947683;13.849,62;5745119958062;13.798,73;2249222170136;15.287,29;1972378783557
2005-01-21;15.476,85;2706348365478;14.615,55;4242481292228;27.687,83;751642738680;13.882,33;5758274767607;13.831,49;2256303428487;15.325,91;1977492117311
2005-01-22;15.476,85;2706348365478;14.615,55;4242481292228;27.687,83;751642738680;13.882,33;5758274767607;13.831,49;2256303428487;15.325,91;1977492117311
2005-01-23;15.476,85;2706348365478;14.615,55;4242481292228;27.687,83;751642738680;13.882,33;5758274767607;13.831,49;2256303428487;15.325,91;1977492117311
2005-01-24;15.431,32;2699476367887;14.572,59;4229912210535;27.606,86;749552485037;13.839,90;5746921660708;13.789,96;2243460527340;15.283,61;1972083437510
2005-01-25;15.418,09;2697879647825;14.563,93;4226558500029;27.593,06;749297634405;13.833,60;5745619045399;13.779,46;2243491906081;15.267,14;1970891693447
2005-01-26;15.476,68;2707985118584;14.612,19;4244100688745;27.684,68;752305587084;13.884,01;5770675571335;13.829,31;2251606883554;15.323,57;1978071880768
2005-01-27;15.503,72;2714226015072;14.636,67;4250035407659;27.730,42;753556928450;13.906,49;5783626289599;13.857,78;2253073637565;15.354,08;1982287144785
2005-01-28;15.570,60;2726623201651;14.693,57;4265716245006;27.829,91;756299228726;13.955,49;5812499417169;13.909,44;2261171210592;15.414,60;1989962611904
2005-01-29;15.570,60;2726623201651;14.693,57;4265716245006;27.829,91;756299228726;13.955,49;5812499417169;13.909,44;2261171210592;15.414,60;1989962611904
2005-01-30;15.570,60;2726623201651;14.693,57;4265716245006;27.829,91;756299228726;13.955,49;5812499417169;13.909,44;2261171210592;15.414,60;1989962611904
2005-01-31;15.583,07;2731005477106;14.711,81;4274354001006;27.872,24;758119139107;13.975,49;5812059144166;13.925,29;2261267556978;15.421,47;1989908228443
2005-02-01;15.579,04;2730364106335;14.701,33;4271279228692;27.855,69;757443301958;13.964,73;5807397053304;13.914,18;2259314687359;15.415,11;1989094065966
2005-02-02;15.617,22;2736406808877;14.734,66;4281058910831;27.917,08;758795349611;13.992,69;5818944438872;13.946,34;2264408767196;15.450,49;1993664216843
2005-02-03;15.623,34;2736190349020;14.741,39;4280314192127;27.926,37;759040286010;14.004,35;5822912015281;13.953,11;2265416936988;15.458,00;1994297663074
2005-02-04;15.604,48;2731687790823;14.718,01;4273558788606;27.888,88;758004791837;13.981,18;5812927322090;13.931,00;2261717201709;15.437,29;1990596060644
2005-02-05;15.604,48;2731687790823;14.718,01;4273558788606;27.888,88;758004791837;13.981,18;5812927322090;13.931,00;2261717201709;15.437,29;1990596060644
2005-02-06;15.604,48;2731687790823;14.718,01;4273558788606;27.888,88;758004791837;13.981,18;5812927322090;13.931,00;2261717201709;15.437,29;1990596060644
2005-02-07;15.612,13;2732388279450;14.724,82;4274947124108;27.907,93;758483097097;13.988,30;5815481090399;13.936,98;2262530046255;15.442,89;1990854236784
2005-02-08;15.660,43;2738990441317;14.763,09;4285151604468;27.976,02;759995457264;14.026,06;5830861471642;13.973,17;2266650322827;15.487,29;1996467664415
2005-02-09;15.703,94;2746292889115;14.810,55;4299129440948;28.060,55;762266555563;14.066,44;5849819144889;14.020,01;2274524014926;15.536,47;2002039775908
2005-02-10;15.713,35;2746872560531;14.828,78;4302130633648;28.082,10;762779858489;14.077,02;5852648864751;14.033,91;2276999163872;15.550,24;2003876177775
2005-02-11;15.664,87;2736015135956;14.786,42;4288751390678;28.004,71;760533533487;14.038,51;5836352257372;13.993,40;2270431992180;15.507,90;1997562824843
2005-02-12;15.664,87;2736015135956;14.786,42;4288751390678;28.004,71;760533533487;14.038,51;5836352257372;13.993,40;2270431992180;15.507,90;1997562824843
2005-02-13;15.664,87;2736015135956;14.786,42;4288751390678;28.004,71;760533533487;14.038,51;5836352257372;13.993,40;2270431992180;15.507,90;1997562824843
2005-02-14;15.652,96;2734146351383;14.773,30;4285048227932;27.980,20;760132003626;14.029,09;5832461325720;13.978,68;2268967925777;15.495,68;1996089173115
2005-02-15;15.675,60;2737502593166;14.792,37;4291480287149;28.023,45;761304318157;14.049,12;5840599892942;13.999,90;2272247995059;15.515,86;1998740798021
2005-02-16;15.700,82;2743467413593;14.818,94;4291951452255;28.074,94;748857520821;14.070,87;5843327226688;14.026,20;2268121915493;15.544,99;1998192413585
2005-02-17;15.732,46;2749986270121;14.843,56;4297004185920;28.128,98;750278458602;14.097,98;5854292751305;14.054,58;2272992966522;15.579,43;2003529611244
2005-02-18;15.709,74;2746429177276;14.826,09;4298779766228;28.092,33;757823862364;14.076,86;5845438499776;14.033,51;2275427488024;15.559,06;2003067963242
2005-02-19;15.709,74;2746429177276;14.826,09;4298779766228;28.092,33;757823862364;14.076,86;5845438499776;14.033,51;2275427488024;15.559,06;2003067963242
2005-02-20;15.709,74;2746429177276;14.826,09;4298779766228;28.092,33;757823862364;14.076,86;5845438499776;14.033,51;2275427488024;15.559,06;2003067963242
2005-02-21;15.720,25;2749259119609;14.834,34;4301107929511;28.114,72;758393768794;14.083,04;5843308953948;14.037,84;2276726169396;15.565,86;2004573065148
2005-02-22;15.734,96;2751470168142;14.841,16;4303920270657;28.139,30;759201041766;14.094,04;5848885230956;14.047,93;2277671565950;15.579,42;2006091565222
2005-02-23;15.738,92;2752091424458;14.848,15;4308143030991;28.152,96;759635658845;14.098,74;5857090688658;14.055,73;2278704693962;15.586,36;2006450460394
2005-02-24;15.769,09;2758182074542;14.883,67;4315794043504;28.223,79;761835180894;14.133,87;5877167323065;14.088,92;2280288316783;15.620,98;2011613661150
2005-02-25;15.796,73;2764220861634;14.902,56;4320792730278;28.261,23;763219213736;14.153,19;5887187771968;14.111,21;2284083534948;15.644,93;2014112369142
2005-02-26;15.796,73;2764220861634;14.902,56;4320792730278;28.261,23;763219213736;14.153,19;5887187771968;14.111,21;2284083534948;15.644,93;2014112369142
2005-02-27;15.796,73;2764220861634;14.902,56;4320792730278;28.261,23;763219213736;14.153,19;5887187771968;14.111,21;2284083534948;15.644,93;2014112369142
2005-02-28;15.898,71;2785368793856;14.996,14;4353255260619;28.436,62;768456960201;14.249,37;5932761569998;14.198,78;2294545149556;15.745,42;2026427330976

Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-01;15.755,23;2027695375471;15.908,25;2787502758660;15.005,14;4355871370904;28.449,98;768815060204;14.252,98;5934236832763;14.206,16;2295715853706
2005-03-02;15.821,41;2035910546969;15.976,01;2798437448624;15.068,91;4373791224105;28.570,34;772077469290;14.314,96;5959638870564;14.265,67;2305606409121
