
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-01-01;19.711,71;2354128583907;19.870,19;3520948623254;18.797,38;5048498468485;35.534,65;814236595862;17.724,62;6964027621661;17.721,73;2524868649965
2007-01-02;19.712,33;2354203251387;19.867,00;3520319170211;18.799,83;5048850456847;35.548,24;814547888339;17.725,70;6963565376153;17.726,46;2522203686109
2007-01-03;19.763,18;2358724142011;19.910,78;3528552636304;18.844,39;5055137074476;35.631,39;812580542488;17.768,18;6973397114196;17.769,58;2523222591068
2007-01-04;19.796,73;2362114682929;19.939,31;3534087544525;18.887,23;5062161147581;35.697,72;814788713292;17.798,22;6984561936153;17.802,93;2527371619143
2007-01-05;19.826,76;2364780167141;19.978,64;3538513593451;18.914,88;5069810770940;35.755,68;813912719064;17.829,78;6995013313731;17.827,28;2530366499089
2007-01-06;19.826,76;2364780167141;19.978,64;3538513593451;18.914,88;5069810770940;35.755,68;813912719064;17.829,78;6995013313731;17.827,28;2530366499089
2007-01-07;19.826,76;2364780167141;19.978,64;3538513593451;18.914,88;5069810770940;35.755,68;813912719064;17.829,78;6995013313731;17.827,28;2530366499089
2007-01-08;19.812,26;2361290658075;19.966,93;3534726417653;18.895,30;5063498469202;35.721,62;813137983646;17.806,87;6978891077290;17.806,33;2525701045523
2007-01-09;19.765,64;2355465879304;19.910,27;3523120937094;18.849,18;5049624959454;35.620,08;810748796326;17.764,57;6962469663548;17.756,92;2518182811602
2007-01-10;19.751,22;2353136798343;19.897,70;3520042748679;18.838,32;5046376727025;35.601,71;810233963911;17.753,99;6957461138451;17.745,12;2516082645101
2007-01-11;19.687,71;2346244984920;19.845,03;3509858036376;18.785,33;5026355799555;35.487,52;807297791369;17.702,82;6936936261841;17.691,81;2508655061210
2007-01-12;19.591,71;2334242205716;19.767,27;3495694824881;18.702,84;5005814317151;35.335,41;804175952926;17.616,31;6904886253790;17.604,86;2497298420612
2007-01-13;19.591,71;2334242205716;19.767,27;3495694824881;18.702,84;5005814317151;35.335,41;804175952926;17.616,31;6904886253790;17.604,86;2497298420612
2007-01-14;19.591,71;2334242205716;19.767,27;3495694824881;18.702,84;5005814317151;35.335,41;804175952926;17.616,31;6904886253790;17.604,86;2497298420612
2007-01-15;19.729,34;2350021008374;19.875,40;3514677849205;18.816,22;5032837739729;35.566,64;805958708350;17.724,21;6942615194111;17.723,78;2510741997131
2007-01-16;19.822,57;2361943544823;19.961,50;3530674088150;18.898,55;5059311402001;35.724,89;809828559017;17.808,31;6982302766479;17.803,09;2527491557349
2007-01-17;19.883,06;2369083218300;20.028,56;3542141330689;18.971,27;5079598752205;35.849,60;813522348649;17.860,42;7002371332109;17.864,12;2534915417723
