
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-01-01;17.594,94;4459267024913;19.697,40;3531678575772;19.069,84;4949273042357;36.119,02;734692791649;17.454,33;6671499761556
2009-01-02;17.643,73;4471632740578;19.774,04;3545288875801;19.110,01;4958818828307;36.249,12;737329544519;17.509,49;6691646315601
2009-01-03;17.643,73;4471632740578;19.774,04;3545288875801;19.110,01;4958818828307;36.249,12;737329544519;17.509,49;6691646315601
2009-01-04;17.643,73;4471632740578;19.774,04;3545288875801;19.110,01;4958818828307;36.249,12;737329544519;17.509,49;6691646315601
2009-01-05;17.735,55;4493520399439;19.863,96;3560651844402;19.205,21;4981190900863;36.431,31;741083560385;17.609,34;6727478646708
2009-01-06;17.870,85;4527964584386;20.001,04;3583945709077;19.314,42;5006716348066;36.665,58;742129712583;17.709,29;6764029470860
2009-01-07;17.932,47;4542391353656;20.097,02;3598720604428;19.394,87;5026948344775;36.796,92;746304687942;17.784,04;6792229875675
2009-01-08;17.825,00;4515042568348;20.010,19;3582679001803;19.312,40;5005000187732;36.663,48;743459664513;17.703,66;6761253955123
2009-01-09;17.737,16;4492523882084;19.935,56;3569347721446;19.259,14;4988569560495;36.501,29;740075672308;17.634,80;6733603171433
2009-01-10;17.737,16;4492523882084;19.935,56;3569347721446;19.259,14;4988569560495;36.501,29;740075672308;17.634,80;6733603171433
2009-01-11;17.737,16;4492523882084;19.935,56;3569347721446;19.259,14;4988569560495;36.501,29;740075672308;17.634,80;6733603171433
2009-01-12;17.717,82;4484994103940;19.911,67;3565230652134;19.240,22;4983912269732;36.394,13;737618548091;17.618,34;6726555608556
2009-01-13;17.587,99;4451510934280;19.794,51;3541665931991;19.119,27;4954368934351;36.193,69;733582731304;17.520,61;6689340417383
2009-01-14;17.549,39;4444156578823;19.743,87;3534489347869;19.073,26;4944721617977;36.101,55;731734050486;17.472,87;6673417270675
