
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-01-01;44.732,60;10430867235094;51.792,66;9757437644665;51.077,98;16852319685341;49.346,71;2324538798709;89.423,48;1898258828934;44.133,57;15527156439475;50.195,21;8497292733
2020-01-02;44.801,34;10482624375973;51.857,54;9772901912851;51.154,62;16879224890423;49.433,93;2332512211687;89.556,96;1909873675205;44.192,39;15554290093598;50.275,45;10205266079
2020-01-03;45.209,04;10578806366979;52.320,37;9860351809125;51.596,48;17033581345080;49.892,99;2354629689733;90.355,22;1926930828336;44.591,92;15696235590372;50.744,01;10309782623
2020-01-04;45.209,04;10578806366979;52.320,37;9860351809125;51.596,48;17033581345080;49.892,99;2354629689733;90.355,22;1926930828336;44.591,92;15696235590372;50.744,01;10309782623
2020-01-05;45.209,04;10578806366979;52.320,37;9860351809125;51.596,48;17033581345080;49.892,99;2354629689733;90.355,22;1926930828336;44.591,92;15696235590372;50.744,01;10309782623
2020-01-06;45.339,95;10599078056157;52.450,00;9885914191414;51.761,89;17081733638866;50.021,14;2361404581108;90.640,99;1933231529330;44.717,89;15740311393825;50.867,61;10202932153
2020-01-07;45.595,00;10656202658389;52.734,95;9929680708148;52.032,79;17169378228790;50.292,60;2373871233736;91.149,92;1943925648827;44.964,61;15828536764228;51.161,26;10238287845
2020-01-08;45.726,33;10686137413884;52.875,25;9956717766941;52.179,00;17223569728583;50.417,30;2379775970262;91.395,97;1948952957023;45.083,96;15871841087381;51.222,41;10365440524
2020-01-09;45.546,88;10634374252036;52.665,14;9914121376088;51.973,50;17155757341868;50.226,26;2372459737789;91.013,21;1941714237899;44.904,58;15809976225815;51.020,26;10462456254
2020-01-10;45.621,43;10632816928244;52.753,06;9931449242951;52.060,76;17186231392693;50.295,49;2376574000477;91.155,19;1945144276264;44.977,94;15839653911230;51.080,43;10558819478
2020-01-11;45.621,43;10632816928244;52.753,06;9931449242951;52.060,76;17186231392693;50.295,49;2376574000477;91.155,19;1945144276264;44.977,94;15839653911230;51.080,43;10558819478
2020-01-12;45.621,43;10632816928244;52.753,06;9931449242951;52.060,76;17186231392693;50.295,49;2376574000477;91.155,19;1945144276264;44.977,94;15839653911230;51.080,43;10558819478
2020-01-13;45.749,80;10657077798686;52.911,47;9958871115999;52.240,89;17252606578769;50.432,64;2386150624292;91.410,11;1952229264402;45.094,96;15888656430143;51.219,19;10571708107
2020-01-14;46.024,73;10721615369208;53.228,83;10025430041351;52.541,32;17374510828273;50.742,54;2408442311551;91.950,65;1965903726670;45.364,70;16001037306491;51.517,20;11162220972
2020-01-15;45.888,29;10731338379370;53.083,65;10040806258571;52.404,82;17390116201758;50.595,40;2411876387025;91.689,12;1981397020800;45.238,74;15990200284283;51.473,84;13819932130
2020-01-16;45.845,94;10735813978070;53.054,24;10058724749584;52.362,35;17422735770558;50.555,36;2409102512281;91.650,42;1981233435940;45.203,16;15981159191132;51.439,38;14081721438
2020-01-17;45.994,75;10776933939300;53.226,13;10099154819562;52.515,46;17522036947513;50.716,18;2416374720598;91.942,31;1988393443345;45.341,96;16031238641088;51.603,27;13982260282
2020-01-18;45.994,75;10776933939300;53.226,13;10099154819562;52.515,46;17522036947513;50.716,18;2416374720598;91.942,31;1988393443345;45.341,96;16031238641088;51.603,27;13982260282
2020-01-19;45.994,75;10776933939300;53.226,13;10099154819562;52.515,46;17522036947513;50.716,18;2416374720598;91.942,31;1988393443345;45.341,96;16031238641088;51.603,27;13982260282
2020-01-20;46.106,54;10823630416653;53.347,87;10131790288628;52.627,10;17570534594202;50.831,70;2422046580659;92.153,13;1993106101374;45.458,45;16074384461259;51.692,70;13843392906
2020-01-21;46.107,85;10849245952123;53.350,69;10137912579596;52.637,78;17586339084613;50.823,54;2422791768860;92.160,37;1992282163357;45.467,31;16078763934450;51.691,83;13866506215
2020-01-22;45.835,68;10771729770712;53.037,95;10051108003391;52.366,23;17463437695989;50.546,41;2404849059774;91.668,75;1980097386884;45.192,38;15975223168186;51.381,22;13774412433
2020-01-23;45.863,35;10769519424177;53.071,31;10043445461079;52.394,93;17426676034657;50.558,11;2401140939555;91.699,29;1979547243548;45.211,94;15973668540004;51.392,59;13681589229
2020-01-24;45.655,37;10714186767980;52.838,97;9990713301693;52.159,57;17312006069304;50.332,95;2388790144857;91.286,49;1969425895109;45.007,10;15898232259361;51.179,05;13785774536
2020-01-25;45.655,37;10714186767980;52.838,97;9990713301693;52.159,57;17312006069304;50.332,95;2388790144857;91.286,49;1969425895109;45.007,10;15898232259361;51.179,05;13785774536
2020-01-26;45.655,37;10714186767980;52.838,97;9990713301693;52.159,57;17312006069304;50.332,95;2388790144857;91.286,49;1969425895109;45.007,10;15898232259361;51.179,05;13785774536
2020-01-27;45.725,27;10726599068521;52.902,27;9998277237311;52.237,45;17326152012972;50.381,90;2389588192454;91.389,67;1971180309687;45.068,03;15918564779122;51.205,13;14902784920
2020-01-28;45.675,64;10715643134639;52.858,16;9993039398397;52.200,91;17316681520265;50.298,12;2385129674073;91.338,76;1970273451211;45.033,34;15906596649179;51.226,51;13805031588
2020-01-29;45.770,20;10741435486064;52.969,88;10012078586176;52.298,64;17347072193999;50.416,20;2389978928685;91.491,03;1973693952522;45.131,00;15939565997295;51.302,37;13843335983
2020-01-30;45.712,34;10723765147809;52.913,95;10004430134341;52.246,14;17326719052231;50.366,00;2386871149016;91.376,19;1971107587161;45.072,15;15920057695711;51.193,74;13272197510
