
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-01;10.258,43;447642223896;10.037,37;630461532801;10.082,64;96184987235;10.131,21;76674934404;10.091,21;803249821494;10.074,35;342887230504;10.211,04;281405127337
2003-01-02;10.286,90;448732400276;10.056,54;631652464161;10.101,90;96367474157;10.143,96;76784567311;10.103,16;803530711607;10.092,32;343455107929;10.225,66;281807336176
2003-01-03;10.275,95;448219187451;10.066,68;632292953822;10.100,29;96349224888;10.157,03;76896143264;10.109,19;803885687600;10.091,03;343239036117;10.228,30;281931758140
2003-01-04;10.275,95;448219187451;10.066,68;632292953822;10.100,29;96349224888;10.157,03;76896143264;10.109,19;803885687600;10.091,03;343239036117;10.228,30;281931758140
2003-01-05;10.275,95;448219187451;10.066,68;632292953822;10.100,29;96349224888;10.157,03;76896143264;10.109,19;803885687600;10.091,03;343239036117;10.228,30;281931758140
2003-01-06;10.281,65;449268639808;10.046,03;631033555730;10.087,56;96257951832;10.142,17;76782843853;10.085,93;801896432247;10.077,52;342493224154;10.204,96;281469843326
2003-01-07;10.270,81;448171518980;10.049,37;630911927058;10.084,55;96246665143;10.144,23;76636509649;10.092,04;802040244048;10.078,09;342489815112;10.204,71;280924613291
2003-01-08;10.316,08;450180420152;10.071,84;632321319182;10.118,04;96264495481;10.165,87;76745791977;10.118,21;803819913779;10.110,55;343497002129;10.242,88;281981805951
2003-01-09;10.291,04;449165244480;10.069,16;631085378082;10.112,41;96224489769;10.164,89;76642225679;10.123,25;804073961895;10.102,95;343023492298;10.235,07;281788856012
2003-01-10;10.310,70;450071218995;10.078,08;630976372861;10.121,09;96288261578;10.180,23;76692010591;10.132,58;804534638823;10.119,16;343644349748;10.249,91;280291099764
2003-01-11;10.310,70;450071218995;10.078,08;630976372861;10.121,09;96288261578;10.180,23;76692010591;10.132,58;804534638823;10.119,16;343644349748;10.249,91;280291099764
2003-01-12;10.310,70;450071218995;10.078,08;630976372861;10.121,09;96288261578;10.180,23;76692010591;10.132,58;804534638823;10.119,16;343644349748;10.249,91;280291099764
2003-01-13;10.336,43;451258210847;10.096,33;632181435600;10.140,67;96516267728;10.195,63;76819656400;10.142,43;804178652705;10.131,19;344106488874;10.264,02;280455659172
2003-01-14;10.340,66;451621744425;10.101,19;633064275569;10.142,99;96555079619;10.201,99;76902849605;10.154,43;804803135393;10.134,53;344112384814;10.273,11;280745569470
2003-01-15;10.381,82;453560148433;10.131,04;635003626838;10.160,73;96920527261;10.230,67;77165064729;10.191,14;807812717553;10.163,74;345207365014;10.294,34;281557989800
2003-01-16;10.386,30;453806026086;10.130,36;635058872881;10.175,38;97051831708;10.229,53;77293046425;10.185,97;807815894318;10.169,85;345440013133;10.315,86;282175418879
2003-01-17;10.400,86;454483842858;10.149,65;636645979076;10.188,69;97354030185;10.238,94;77393595216;10.200,27;809277133193;10.177,54;345681664437;10.319,29;282178373903
2003-01-18;10.400,86;454483842858;10.149,65;636645979076;10.188,69;97354030185;10.238,94;77393595216;10.200,27;809277133193;10.177,54;345681664437;10.319,29;282178373903
2003-01-19;10.400,86;454483842858;10.149,65;636645979076;10.188,69;97354030185;10.238,94;77393595216;10.200,27;809277133193;10.177,54;345681664437;10.319,29;282178373903
2003-01-20;10.406,86;454759896325;10.161,08;637434468371;10.212,63;97688333330;10.255,50;77593240592;10.208,72;810345656736;10.191,30;346183940009;10.328,72;282672974880
2003-01-21;10.399,16;454401142379;10.156,64;637127997666;10.191,78;97543144585;10.246,83;77623370014;10.208,14;810426088144;10.181,27;345858288070;10.311,36;282301156486
2003-01-22;10.399,58;454859711503;10.166,16;637876126375;10.208,68;97809007927;10.256,00;77703641623;10.217,04;811519324367;10.190,41;346344413189;10.324,29;282808721345
2003-01-23;10.416,38;455633575314;10.174,51;638378014407;10.210,74;97951640206;10.262,53;77792552187;10.220,54;811920077736;10.195,09;346753430648;10.325,20;282801418914
2003-01-24;10.378,11;454109372119;10.158,09;637489321818;10.191,98;97704824326;10.245,89;77727467241;10.200,52;813961021686;10.172,00;346260382738;10.302,66;282884412324
2003-01-25;10.378,11;454109372119;10.158,09;637489321818;10.191,98;97704824326;10.245,89;77727467241;10.200,52;813961021686;10.172,00;346260382738;10.302,66;282884412324
2003-01-26;10.378,11;454109372119;10.158,09;637489321818;10.191,98;97704824326;10.245,89;77727467241;10.200,52;813961021686;10.172,00;346260382738;10.302,66;282884412324
2003-01-27;10.418,57;461360925142;10.180,34;640649278007;10.203,18;98068715342;10.257,74;77898158164;10.217,26;815265359045;10.193,32;347477277311;10.327,76;283877778374
2003-01-28;10.398,29;460578101487;10.176,44;640372226877;10.201,19;98073504486;10.247,87;77848722054;10.208,27;814403216244;10.186,59;346911498319;10.317,81;283650510965
