
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-01-01;12.551,85;868190901473;12.055,02;1023719508975;11.936,36;251714966802;12.061,17;1533088357510;12.080,91;678630886247;12.390,48;437353317419
2005-01-02;12.551,85;868190901473;12.055,02;1023719508975;11.936,36;251714966802;12.061,17;1533088357510;12.080,91;678630886247;12.390,48;437353317419
2005-01-03;12.554,32;867371754891;12.055,09;1023582257060;11.937,93;251734121014;12.062,63;1533345500430;12.082,53;677814515939;12.389,82;437367553170
2005-01-04;12.559,44;866087512653;12.070,96;1023249362923;11.939,97;251215460339;12.067,63;1533565975107;12.084,99;677175912662;12.401,63;436869956316
2005-01-05;12.572,54;865821061399;12.070,67;1020448749400;11.947,39;251307490137;12.077,24;1533643742397;12.091,81;676601952290;12.415,14;437125351473
2005-01-06;12.538,50;862555194494;12.038,26;1015846001645;11.927,51;250436199639;12.054,17;1529754049983;12.069,49;674883128067;12.385,93;433186887279
2005-01-07;12.491,41;857793614049;11.998,21;1009667335959;11.890,68;249158368299;12.021,80;1525036751703;12.036,49;672281993220;12.346,72;431610921710
2005-01-08;12.491,41;857793614049;11.998,21;1009667335959;11.890,68;249158368299;12.021,80;1525036751703;12.036,49;672281993220;12.346,72;431610921710
2005-01-09;12.491,41;857793614049;11.998,21;1009667335959;11.890,68;249158368299;12.021,80;1525036751703;12.036,49;672281993220;12.346,72;431610921710
2005-01-10;12.476,01;854730890005;11.984,54;1007697207899;11.875,77;247627414493;12.008,84;1520839645850;12.022,37;667985764940;12.335,55;431000183749
2005-01-11;12.479,11;853801946240;11.992,17;1008384893947;11.883,18;247536485093;12.015,39;1523265511549;12.026,62;666990844133;12.342,05;431341312106
2005-01-12;12.474,90;851533934247;11.989,42;1006675292051;11.878,71;247346348890;12.013,67;1521290376454;12.024,00;667023662428;12.339,55;429336604273
2005-01-13;12.481,08;852644259844;11.985,44;1004338736470;11.875,95;247509322177;12.007,87;1520372903343;12.018,35;666632686214;12.335,80;429024464159
2005-01-14;12.467,46;850399247280;11.974,04;1002911824658;11.863,62;247398592206;11.999,62;1520203483200;12.008,01;666457127179;12.321,71;428618221613
2005-01-15;12.467,46;850399247280;11.974,04;1002911824658;11.863,62;247398592206;11.999,62;1520203483200;12.008,01;666457127179;12.321,71;428618221613
2005-01-16;12.467,46;850399247280;11.974,04;1002911824658;11.863,62;247398592206;11.999,62;1520203483200;12.008,01;666457127179;12.321,71;428618221613
2005-01-17;12.502,12;852608699370;12.007,48;1004061523766;11.888,59;246930728748;12.020,60;1521922202033;12.031,96;666434494734;12.350,36;429460062920
2005-01-18;12.531,09;854521474462;12.033,01;1006598911970;11.913,24;247754359797;12.046,88;1525358500917;12.058,01;667844556184;12.373,97;430647523087
2005-01-19;12.552,05;854640150896;12.053,38;1008449442002;11.932,58;248178412767;12.062,58;1527309777527;12.075,40;669155735023;12.392,44;431408098845
2005-01-20;12.543,06;854469475493;12.034,60;1007810507663;11.918,07;248151943148;12.048,64;1524922031288;12.062,03;668239268747;12.375,63;430464450347
2005-01-21;12.572,04;856366504904;12.055,31;1008147477054;11.934,90;248563861175;12.066,57;1526765335558;12.079,33;669490577739;12.397,89;431199096397
2005-01-22;12.572,04;856366504904;12.055,31;1008147477054;11.934,90;248563861175;12.066,57;1526765335558;12.079,33;669490577739;12.397,89;431199096397
2005-01-23;12.572,04;856366504904;12.055,31;1008147477054;11.934,90;248563861175;12.066,57;1526765335558;12.079,33;669490577739;12.397,89;431199096397
2005-01-24;12.536,85;853851544994;12.029,53;1006178171328;11.909,10;248129312037;12.050,06;1526152863874;12.059,21;669463024895;12.375,92;430674372966
2005-01-25;12.534,27;853916146968;12.030,26;1006490586542;11.905,16;248143479856;12.048,62;1526423647058;12.056,40;667886352949;12.367,97;430674015059
2005-01-26;12.573,46;856412067602;12.060,90;1009870928122;11.934,50;249174292825;12.076,38;1530392588960;12.085,84;669660127976;12.403,21;431582725701
2005-01-27;12.597,94;858570462720;12.070,12;1008169421106;11.958,30;249715473889;12.095,09;1533297307411;12.104,82;671433680076;12.422,99;432443924520
2005-01-28;12.623,61;859535336388;12.104,12;1010063800486;11.987,88;250331694257;12.120,56;1537167734858;12.135,84;673171783915;12.454,36;433246852541
2005-01-29;12.623,61;859535336388;12.104,12;1010063800486;11.987,88;250331694257;12.120,56;1537167734858;12.135,84;673171783915;12.454,36;433246852541
2005-01-30;12.623,61;859535336388;12.104,12;1010063800486;11.987,88;250331694257;12.120,56;1537167734858;12.135,84;673171783915;12.454,36;433246852541
2005-01-31;12.624,61;860151360288;12.107,79;1012850364895;12.000,77;250514596916;12.134,22;1534992171348;12.141,15;678183037326;12.453,73;436391270488
2005-02-01;12.614,98;859472591423;12.100,62;1012213025247;11.989,39;249562380283;12.122,98;1533389998059;12.133,69;677384901809;12.446,73;436146036356
2005-02-02;12.651,89;861482445311;12.122,76;1014125708148;12.014,24;250815377245;12.140,92;1535537449374;12.154,36;678446610847;12.468,73;437220165627
2005-02-03;12.648,73;861062474891;12.128,07;1010218165222;12.013,98;250763939502;12.148,62;1536418522062;12.158,58;678265214291;12.473,15;436241421032
2005-02-04;12.633,83;858865569464;12.111,43;1008882721535;12.002,43;250514658842;12.135,99;1534588721070;12.142,53;677076102307;12.459,61;435306202745
2005-02-05;12.633,83;858865569464;12.111,43;1008882721535;12.002,43;250514658842;12.135,99;1534588721070;12.142,53;677076102307;12.459,61;435306202745
2005-02-06;12.633,83;858865569464;12.111,43;1008882721535;12.002,43;250514658842;12.135,99;1534588721070;12.142,53;677076102307;12.459,61;435306202745
2005-02-07;12.634,84;858041611601;12.115,61;1006429686820;12.005,98;250521373053;12.139,81;1534148725635;12.145,61;676724056928;12.461,76;433676890135
2005-02-08;12.657,70;858025411624;12.134,41;1007211876559;12.021,89;250566066455;12.155,13;1535532844575;12.161,56;673973156795;12.479,18;434196848818
2005-02-09;12.685,30;859625941564;12.159,40;1009395075335;12.042,18;250941777150;12.175,28;1542983830609;12.184,79;674952466538;12.505,47;434923461560
2005-02-10;12.692,70;859361866379;12.171,04;1008287370742;12.049,57;251115900258;12.183,44;1536962437147;12.195,02;675143866848;12.515,14;435183724009
2005-02-11;12.666,00;853157051164;12.147,93;1005079566721;12.031,07;249666187572;12.166,80;1534461530327;12.174,58;674065699750;12.495,95;432984867104
2005-02-12;12.666,00;853157051164;12.147,93;1005079566721;12.031,07;249666187572;12.166,80;1534461530327;12.174,58;674065699750;12.495,95;432984867104
2005-02-13;12.666,00;853157051164;12.147,93;1005079566721;12.031,07;249666187572;12.166,80;1534461530327;12.174,58;674065699750;12.495,95;432984867104
2005-02-14;12.654,68;852110032807;12.141,86;1004601502649;12.022,10;249750459087;12.160,72;1533866895410;12.166,42;673589326123;12.487,00;432933661272
2005-02-15;12.673,91;852213802393;12.150,69;1005566608400;12.034,56;249996037791;12.170,67;1535481972234;12.176,24;674062882662;12.495,70;433525763897
2005-02-16;12.689,95;854579460167;12.166,48;1005757944167;12.046,15;248958935124;12.181,12;1535039309206;12.189,48;674050653006;12.510,86;433649143630
2005-02-17;12.709,82;855496231408;12.184,11;1005161810711;12.069,01;249427051796;12.198,37;1537794470014;12.208,51;675337421380;12.530,02;435085665261
2005-02-18;12.687,60;853796499306;12.173,62;1004555416796;12.056,52;249451446327;12.191,61;1536879993086;12.196,74;674612643488;12.521,48;434906120270
2005-02-19;12.687,60;853796499306;12.173,62;1004555416796;12.056,52;249451446327;12.191,61;1536879993086;12.196,74;674612643488;12.521,48;434906120270
2005-02-20;12.687,60;853796499306;12.173,62;1004555416796;12.056,52;249451446327;12.191,61;1536879993086;12.196,74;674612643488;12.521,48;434906120270
2005-02-21;12.691,43;854168885829;12.176,19;1004852353922;12.061,28;249480489223;12.191,27;1533243530264;12.198,94;674730921682;12.522,90;434867215525
2005-02-22;12.699,83;854512494803;12.178,33;1005684210205;12.065,51;249795541789;12.195,25;1533520556715;12.203,35;673466076988;12.528,46;434993688181
2005-02-23;12.701,32;853784816102;12.179,41;1006569522649;12.070,96;250094165177;12.196,70;1535064871086;12.207,41;673987880152;12.531,77;434962401630
2005-02-24;12.729,09;855844848572;12.205,68;1006465693954;12.092,84;250644486495;12.215,92;1538781859162;12.228,84;675884419139;12.549,95;435808163075
2005-02-25;12.750,68;857655138585;12.218,40;1007426589443;12.107,04;251010489517;12.231,86;1541239700583;12.246,57;676698678186;12.565,82;436031905826
2005-02-26;12.750,68;857655138585;12.218,40;1007426589443;12.107,04;251010489517;12.231,86;1541239700583;12.246,57;676698678186;12.565,82;436031905826
2005-02-27;12.750,68;857655138585;12.218,40;1007426589443;12.107,04;251010489517;12.231,86;1541239700583;12.246,57;676698678186;12.565,82;436031905826
2005-02-28;12.796,50;864557026715;12.271,60;1013800253038;12.150,57;252681062400;12.282,62;1548541979233;12.290,27;681018177188;12.611,51;441052844798

Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-01;12.615,58;441195183605;12.801,80;864947952949;12.269,64;1013860949046;12.154,87;252767447500;12.288,34;1549383625757;12.292,99;680939356570
2005-03-02;12.648,97;441754813523;12.841,97;866901381353;12.307,24;1015654595974;12.188,25;253503900158;12.316,47;1552845807422;12.324,04;682551943773
2005-03-03;12.686,56;442901831518;12.880,33;867349623525;12.345,52;1016547261412;12.217,23;254104267162;12.348,32;1556148857688;12.359,90;684102983583
2005-03-04;12.683,13;441571070175;12.874,31;865800478991;12.337,61;1015895344478;12.214,36;253659661926;12.347,75;1563951537292;12.356,59;682906052371
2005-03-05;12.683,13;441571070175;12.874,31;865800478991;12.337,61;1015895344478;12.214,36;253659661926;12.347,75;1563951537292;12.356,59;682906052371
2005-03-06;12.683,13;441571070175;12.874,31;865800478991;12.337,61;1015895344478;12.214,36;253659661926;12.347,75;1563951537292;12.356,59;682906052371
2005-03-07;12.694,17;441958428502;12.882,35;864567333530;12.347,21;1013962236003;12.226,50;253624466963;12.356,80;1562277196107;12.367,86;682991773427
2005-03-08;12.696,10;439905135112;12.883,59;863530597886;12.349,62;1012983314624;12.225,94;253612802321;12.358,40;1562193654907;12.369,18;679088991294
2005-03-09;12.713,35;439841329153;12.900,51;863567715113;12.374,94;1015063147472;12.243,10;253903299088;12.372,09;1557440591691;12.385,06;679272262657
2005-03-10;12.738,30;440440131611;12.927,66;863389347211;12.405,32;1014673726353;12.272,21;254246214822;12.395,66;1559858164600;12.413,29;680769068664
2005-03-11;12.722,47;439488838876;12.912,78;860368068354;12.387,08;1013865892682;12.257,92;252962186111;12.381,61;1558101027538;12.395,37;679943649424
2005-03-12;12.722,47;439488838876;12.912,78;860368068354;12.387,08;1013865892682;12.257,92;252962186111;12.381,61;1558101027538;12.395,37;679943649424
2005-03-13;12.722,47;439488838876;12.912,78;860368068354;12.387,08;1013865892682;12.257,92;252962186111;12.381,61;1558101027538;12.395,37;679943649424
2005-03-14;12.701,10;439041227740;12.893,56;858147914812;12.364,00;1011978833190;12.238,80;252702221078;12.361,13;1556012954246;12.378,84;679502492719
2005-03-15;12.686,11;437227659137;12.884,45;856455059943;12.367,39;1012733080965;12.230,58;252561197534;12.352,13;1554282603354;12.371,81;679308826224
2005-03-16;12.675,50;435584374279;12.859,30;854145913313;12.346,14;1009529287996;12.216,12;250618045009;12.341,37;1551673601956;12.357,06;677971952381
2005-03-17;12.677,54;435972773784;12.855,38;852301061372;12.344,11;1006506797726;12.219,48;251096930296;12.338,48;1551453956496;12.359,26;678128426411
2005-03-18;12.669,56;435758693540;12.848,01;851672695687;12.339,32;1007240075859;12.212,28;251189421467;12.330,57;1551373126935;12.353,24;677983236122
2005-03-19;12.669,56;435758693540;12.848,01;851672695687;12.339,32;1007240075859;12.212,28;251189421467;12.330,57;1551373126935;12.353,24;677983236122
2005-03-20;12.669,56;435758693540;12.848,01;851672695687;12.339,32;1007240075859;12.212,28;251189421467;12.330,57;1551373126935;12.353,24;677983236122
2005-03-21;12.658,76;435343660129;12.837,66;849271250165;12.326,46;1006840758928;12.196,93;250799813378;12.321,83;1551461747844;12.341,86;677645460425
2005-03-22;12.674,99;435954293936;12.854,89;848614578082;12.351,82;1008769861869;12.213,67;251096517028;12.338,11;1553573029769;12.360,08;676628615601
2005-03-23;12.663,94;434616231514;12.848,17;846811905684;12.338,23;1007876542944;12.203,06;250952873972;12.327,99;1552225470781;12.350,79;676262170379
2005-03-24;12.663,38;434632544332;12.846,08;845812387216;12.341,46;1006627750528;12.205,64;251012047890;12.328,63;1553299232132;12.353,13;676105013757
2005-03-25;12.663,38;434632544332;12.846,08;845812387216;12.341,46;1006627750528;12.205,64;251012047890;12.328,63;1553299232132;12.353,13;676105013757
2005-03-26;12.663,38;434632544332;12.846,08;845812387216;12.341,46;1006627750528;12.205,64;251012047890;12.328,63;1553299232132;12.353,13;676105013757
2005-03-27;12.663,38;434632544332;12.846,08;845812387216;12.341,46;1006627750528;12.205,64;251012047890;12.328,63;1553299232132;12.353,13;676105013757
2005-03-28;12.637,23;433392273068;12.813,36;841770597954;12.306,17;1004186327574;12.170,73;250047286677;12.310,14;1546256703378;12.328,01;675581453673
2005-03-29;12.664,57;434465253658;12.844,58;844141064529;12.334,82;1006230682448;12.203,86;250900069062;12.340,01;1549975993364;12.358,58;677194389143
2005-03-30;12.676,45;434109638264;12.849,38;844613202699;12.338,39;1006503525742;12.210,57;251199489263;12.347,53;1551032024994;12.367,78;677353855891
2005-03-31;12.659,59;435892998980;12.826,08;845569737528;12.318,21;1004134917942;12.191,47;251417435915;12.336,90;1549796401680;12.348,39;678580523586
2005-04-01;12.663,73;436035477638;12.837,44;846315258792;12.325,33;1004775425906;12.198,25;250468578809;12.344,84;1549965308792;12.357,10;678551286505
2005-04-02;12.663,73;436035477638;12.837,44;846315258792;12.325,33;1004775425906;12.198,25;250468578809;12.344,84;1549965308792;12.357,10;678551286505
2005-04-03;12.663,73;436035477638;12.837,44;846315258792;12.325,33;1004775425906;12.198,25;250468578809;12.344,84;1549965308792;12.357,10;678551286505
2005-04-04;12.675,44;436438828761;12.858,98;846663139003;12.339,47;1005054860524;12.212,69;250743732543;12.357,69;1550780421993;12.368,24;679240745423
2005-04-05;12.688,18;436435665496;12.868,76;845262354399;12.352,18;1006163596652;12.218,24;250838871716;12.360,02;1550327595861;12.378,35;677553610802
2005-04-06;12.681,05;435298507124;12.880,76;843560234639;12.346,67;1004247534346;12.217,59;250331786804;12.361,61;1549431062556;12.379,20;677249979361
2005-04-07;12.692,50;435166178499;12.888,04;842933581384;12.355,05;1001271235320;12.223,21;250373738402;12.369,21;1550307802489;12.385,02;677443289798
2005-04-08;12.690,51;434113729747;12.880,10;839982285075;12.347,84;997976666011;12.216,56;248571110006;12.369,59;1549856420953;12.383,09;674917702209
2005-04-09;12.690,51;434113729747;12.880,10;839982285075;12.347,84;997976666011;12.216,56;248571110006;12.369,59;1549856420953;12.383,09;674917702209
2005-04-10;12.690,51;434113729747;12.880,10;839982285075;12.347,84;997976666011;12.216,56;248571110006;12.369,59;1549856420953;12.383,09;674917702209
2005-04-11;12.715,09;433259532924;12.900,31;839790613955;12.371,83;999688879982;12.238,40;249073320539;12.391,97;1547409893237;12.405,73;676147568704
2005-04-12;12.720,95;433476934196;12.910,43;836550627364;12.375,32;999349148395;12.244,65;249258475002;12.394,36;1548590654721;12.408,51;676169011451
2005-04-13;12.740,48;434105759264;12.934,83;837058540131;12.392,53;1001117277199;12.259,34;249746136081;12.413,31;1558167908084;12.427,96;677270924269
2005-04-14;12.742,21;434285520040;12.941,34;837635851091;12.390,16;998534866787;12.258,78;249881359835;12.418,46;1558650811201;12.430,05;677582989064
2005-04-15;12.747,66;433114825625;12.942,72;836620144702;12.409,66;998610178008;12.269,26;248763320674;12.426,13;1559665186990;12.438,57;677868598442
2005-04-16;12.747,66;433114825625;12.942,72;836620144702;12.409,66;998610178008;12.269,26;248763320674;12.426,13;1559665186990;12.438,57;677868598442
2005-04-17;12.747,66;433114825625;12.942,72;836620144702;12.409,66;998610178008;12.269,26;248763320674;12.426,13;1559665186990;12.438,57;677868598442
2005-04-18;12.730,60;433081751330;12.917,59;835236145910;12.383,08;998025966805;12.250,92;248872968372;12.409,74;1552898048912;12.422,34;677194075131
2005-04-19;12.735,36;433338698130;12.922,15;834773757137;12.391,47;998881332381;12.257,91;249175111623;12.412,80;1553699955333;12.426,83;676011135742
2005-04-20;12.708,70;432091333368;12.898,04;833453070419;12.357,01;996159531076;12.229,96;248595257765;12.392,80;1552577199644;12.408,25;675259302541
2005-04-21;12.734,81;432885745945;12.923,94;834903585669;12.385,23;997316196213;12.254,46;249330993301;12.416,15;1555583823326;12.430,77;676404840030
2005-04-22;12.736,83;432927843130;12.934,73;834967185367;12.392,54;999002990101;12.261,52;249333705337;12.416,59;1555312218410;12.430,93;676650799130
2005-04-23;12.736,83;432927843130;12.934,73;834967185367;12.392,54;999002990101;12.261,52;249333705337;12.416,59;1555312218410;12.430,93;676650799130
2005-04-24;12.736,83;432927843130;12.934,73;834967185367;12.392,54;999002990101;12.261,52;249333705337;12.416,59;1555312218410;12.430,93;676650799130
2005-04-25;12.742,91;433102591228;12.945,45;835768858806;12.389,87;999301280194;12.261,81;249385060584;12.423,56;1557286304301;12.431,82;677271920944
2005-04-26;12.741,65;432962775343;12.942,65;835290725268;12.399,33;1000082733800;12.263,61;249144337588;12.422,67;1557819155948;12.435,25;677507951888
2005-04-27;12.773,92;433535492474;12.964,65;836768121854;12.430,49;1002245591420;12.288,76;249752426880;12.455,59;1561932551671;12.466,75;679319672784
2005-04-28;12.764,14;433321065700;12.940,87;835101845776;12.423,90;998889985023;12.271,38;249446803045;12.444,49;1561333323679;12.455,08;678493787019
2005-04-29;12.750,02;435645780708;12.929,53;838733493462;12.412,70;999539688378;12.263,28;250150642754;12.437,22;1560869463475;12.444,42;680084475226
2005-04-30;12.750,02;435645780708;12.929,53;838733493462;12.412,70;999539688378;12.263,28;250150642754;12.437,22;1560869463475;12.444,42;680084475226
2005-05-01;12.750,02;435645780708;12.929,53;838733493462;12.412,70;999539688378;12.263,28;250150642754;12.437,22;1560869463475;12.444,42;680084475226
2005-05-02;12.728,09;434896493342;12.889,59;835521137298;12.390,95;997878901876;12.235,17;249575759659;12.416,94;1558037025378;12.420,00;678841563413
2005-05-03;12.738,70;434508525329;12.915,53;836514595902;12.400,58;997409911181;12.250,34;248969364725;12.422,45;1565495689078;12.433,12;678421800227
2005-05-04;12.747,95;434675878030;12.925,53;835992922803;12.407,04;997905478767;12.260,99;249232369535;12.429,08;1565274561091;12.441,52;678312703840
2005-05-05;12.762,32;433322295701;12.945,63;836934223217;12.421,59;997441201100;12.273,51;249452202016;12.443,74;1567155993917;12.455,53;678890707484
2005-05-06;12.790,95;434052540793;12.975,10;838189245174;12.457,68;997393242174;12.304,97;249835433529;12.472,57;1570345306204;12.488,09;680637456538
2005-05-07;12.790,95;434052540793;12.975,10;838189245174;12.457,68;997393242174;12.304,97;249835433529;12.472,57;1570345306204;12.488,09;680637456538
2005-05-08;12.790,95;434052540793;12.975,10;838189245174;12.457,68;997393242174;12.304,97;249835433529;12.472,57;1570345306204;12.488,09;680637456538
2005-05-09;12.791,06;433874885646;12.967,02;837107870972;12.459,56;994772636100;12.303,63;249811051726;12.474,73;1563930606519;12.488,04;680018479670
2005-05-10;12.821,44;434922036611;12.995,35;837401131044;12.494,74;997287567839;12.329,91;249735458256;12.500,38;1567080371681;12.517,09;678717876463
2005-05-11;12.825,73;434810054207;13.002,42;836978915305;12.493,63;997067180645;12.333,74;248725311458;12.501,61;1560565218732;12.517,21;678620763141
2005-05-12;12.807,72;434162816006;12.950,72;831971592291;12.480,66;994929943579;12.308,03;248227394535;12.484,44;1558854551373;12.499,82;677826062465
2005-05-13;12.799,84;433941148000;12.961,66;832636432796;12.455,21;992963524852;12.294,81;247651240190;12.468,47;1556377890539;12.486,18;677171449808
2005-05-14;12.799,84;433941148000;12.961,66;832636432796;12.455,21;992963524852;12.294,81;247651240190;12.468,47;1556377890539;12.486,18;677171449808
2005-05-15;12.799,84;433941148000;12.961,66;832636432796;12.455,21;992963524852;12.294,81;247651240190;12.468,47;1556377890539;12.486,18;677171449808
2005-05-16;12.782,62;432098650025;12.934,71;830633439499;12.438,93;991701597826;12.272,74;247290856216;12.452,72;1554412765672;12.464,63;675932463883
2005-05-17;12.775,45;431394718653;12.922,12;829325553494;12.433,10;991199034989;12.272,18;245189729743;12.442,40;1551486269796;12.457,38;672898059705
2005-05-18;12.775,44;431715451453;12.922,29;829348786213;12.427,92;990850998247;12.269,83;245355971021;12.444,51;1551116329001;12.460,17;673392814867
2005-05-19;12.807,41;432658273924;12.963,71;831935044768;12.460,73;993646756581;12.302,98;245913259883;12.471,31;1552937796234;12.490,44;674883112959
2005-05-20;12.809,66;432679061026;12.967,71;832075679240;12.459,73;993380835565;12.299,95;245955500513;12.475,19;1554318608763;12.489,60;675022174260
2005-05-21;12.809,66;432679061026;12.967,71;832075679240;12.459,73;993380835565;12.299,95;245955500513;12.475,19;1554318608763;12.489,60;675022174260
2005-05-22;12.809,66;432679061026;12.967,71;832075679240;12.459,73;993380835565;12.299,95;245955500513;12.475,19;1554318608763;12.489,60;675022174260
2005-05-23;12.809,66;432679061026;12.967,71;832075679240;12.459,73;993380835565;12.299,95;245955500513;12.475,19;1554318608763;12.489,60;675022174260
2005-05-24;12.848,43;433983613372;13.015,21;835460617370;12.504,79;997299548582;12.339,73;246722868276;12.509,47;1557353603729;12.528,41;677100292900
2005-05-25;12.830,07;433322671289;12.979,19;833494463829;12.483,20;996181471336;12.316,26;246741954362;12.493,46;1555720611526;12.510,05;676478297001
2005-05-26;12.840,16;433501210894;12.995,44;834191781182;12.496,83;995702081074;12.329,11;246842455065;12.496,42;1556022982720;12.517,99;677659727590
2005-05-27;12.839,78;433593692317;12.984,53;833575816985;12.496,21;995860026821;12.329,04;246903680666;12.505,51;1557527125915;12.521,31;677654425625
2005-05-28;12.839,78;433593692317;12.984,53;833575816985;12.496,21;995860026821;12.329,04;246903680666;12.505,51;1557527125915;12.521,31;677654425625
2005-05-29;12.839,78;433593692317;12.984,53;833575816985;12.496,21;995860026821;12.329,04;246903680666;12.505,51;1557527125915;12.521,31;677654425625
2005-05-30;12.858,67;434201419209;12.998,74;834598453963;12.510,32;997174262380;12.346,31;247305202257;12.519,79;1559824012500;12.536,68;678761340520
2005-05-31;12.864,73;437246469650;13.011,89;839112888999;12.524,76;999938539942;12.354,95;248210289733;12.525,89;1560684955003;12.546,90;681142047600
2005-06-01;12.880,33;437712272633;13.024,80;839974408098;12.540,51;1008797541711;12.368,73;248276543897;12.540,43;1561326304228;12.559,39;681491350838
2005-06-02;12.896,23;438303607605;13.045,15;840912384205;12.556,04;1010041627966;12.381,01;248494992142;12.554,08;1570647143849;12.575,04;682185650766
2005-06-03;12.923,09;438155663813;13.072,49;841473979697;12.577,30;1009997033097;12.405,81;248987136286;12.579,90;1573710881571;12.602,36;683084228111
2005-06-04;12.923,09;438155663813;13.072,49;841473979697;12.577,30;1009997033097;12.405,81;248987136286;12.579,90;1573710881571;12.602,36;683084228111
2005-06-05;12.923,09;438155663813;13.072,49;841473979697;12.577,30;1009997033097;12.405,81;248987136286;12.579,90;1573710881571;12.602,36;683084228111
2005-06-06;12.959,00;439385882973;13.102,92;842603806372;12.604,26;1016278601930;12.434,18;248804879695;12.611,58;1577016091862;12.633,34;684126565999
2005-06-07;12.993,21;439420160993;13.143,00;843732348974;12.643,92;1019466721415;12.464,68;249341587717;12.643,43;1580716506425;12.668,02;685845003642
2005-06-08;12.991,37;439254176936;13.148,66;843128954691;12.630,89;1015417569119;12.462,46;248661291686;12.637,75;1579168763594;12.663,06;681901578570
2005-06-09;12.989,66;439135209985;13.145,97;841441828516;12.624,93;1014054894767;12.462,03;248672314256;12.636,86;1577719948686;12.659,57;681540239614
