
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-01-01;13.275,15;437133736973;13.383,55;827048092171;12.926,44;988235905429;12.713,45;241362258468;12.843,36;1561357128009;12.878,33;680096801340
2006-01-02;13.288,13;437561202357;13.398,07;827013617434;12.941,52;987909752337;12.726,83;241616215105;12.855,38;1561423405161;12.893,39;680478742182
2006-01-03;13.295,34;437836203538;13.404,54;825077387083;12.957,43;988984390131;12.737,70;240861973792;12.869,84;1572387030259;12.906,99;680482610768
2006-01-04;13.306,67;436664960202;13.414,20;824685207943;12.961,86;987929341251;12.739,96;240978944505;12.869,25;1571948454382;12.913,85;680268715405
2006-01-05;13.334,74;435798376887;13.450,50;826352647362;12.991,01;990291779636;12.775,46;240719485948;12.896,29;1575163302749;12.945,21;680438579312
2006-01-06;13.382,02;437213422978;13.497,87;828512212619;13.039,56;991695863626;12.822,65;241612868093;12.939,01;1579242704660;12.996,84;683118453403
2006-01-07;13.382,02;437213422978;13.497,87;828512212619;13.039,56;991695863626;12.822,65;241612868093;12.939,01;1579242704660;12.996,84;683118453403
2006-01-08;13.382,02;437213422978;13.497,87;828512212619;13.039,56;991695863626;12.822,65;241612868093;12.939,01;1579242704660;12.996,84;683118453403
2006-01-09;13.424,20;438583215089;13.536,57;830403710591;13.082,11;992072866303;12.858,35;242317869622;12.971,63;1580738703405;13.036,41;682210773813
2006-01-10;13.451,97;439266957383;13.569,73;832159519195;13.116,02;994795376571;12.882,39;242611988137;12.998,84;1578018572843;13.065,36;683506583824
2006-01-11;13.468,52;439551107403;13.586,52;832999084779;13.136,02;995057723288;12.903,25;241961460064;13.016,35;1579377234757;13.088,78;684743825918
2006-01-12;13.461,44;439480143577;13.577,98;830638548450;13.129,02;994388786046;12.896,12;241955028878;13.010,32;1578639892124;13.081,09;684163028974
2006-01-13;13.482,99;438542706995;13.602,39;831585256723;13.155,13;996069341027;12.922,40;242430835079;13.032,78;1582179263194;13.104,08;685553191170
2006-01-14;13.482,99;438542706995;13.602,39;831585256723;13.155,13;996069341027;12.922,40;242430835079;13.032,78;1582179263194;13.104,08;685553191170
2006-01-15;13.482,99;438542706995;13.602,39;831585256723;13.155,13;996069341027;12.922,40;242430835079;13.032,78;1582179263194;13.104,08;685553191170
2006-01-16;13.513,62;439545880858;13.620,83;832366484842;13.180,08;999108045355;12.945,05;241977729808;13.055,57;1584921762682;13.129,92;686666235571
2006-01-17;13.510,16;440031917833;13.616,72;832565110126;13.179,94;999510451079;12.947,38;242179963531;13.056,06;1585010108190;13.128,96;685771614393
2006-01-18;13.520,92;440161523937;13.632,21;833807880561;13.191,90;1000881488039;12.956,26;242668493193;13.064,61;1586239592147;13.136,03;686225624604
2006-01-19;13.520,63;440192650953;13.625,81;833618184214;13.190,04;998467219827;12.955,59;242822604298;13.063,40;1586048558370;13.140,16;687185253898
2006-01-20;13.517,23;439820693871;13.625,77;833388704689;13.182,32;997714131549;12.952,74;243268366077;13.061,45;1586747311113;13.137,84;687406798702
2006-01-21;13.517,23;439820693871;13.625,77;833388704689;13.182,32;997714131549;12.952,74;243268366077;13.061,45;1586747311113;13.137,84;687406798702
2006-01-22;13.517,23;439820693871;13.625,77;833388704689;13.182,32;997714131549;12.952,74;243268366077;13.061,45;1586747311113;13.137,84;687406798702
2006-01-23;13.541,49;440492399594;13.651,56;834654567928;13.209,29;1000774568804;12.975,21;243748094850;13.087,72;1586592255814;13.160,71;688605124019
2006-01-24;13.531,34;440254611482;13.640,26;833683602564;13.200,30;999914310978;12.967,49;243612392355;13.079,25;1586674752532;13.153,39;688731128609
2006-01-25;13.507,02;439497676587;13.625,80;832968055550;13.176,81;998654324191;12.945,90;243214664967;13.061,44;1584721548608;13.133,54;687758610284
2006-01-26;13.532,71;440050700956;13.648,22;833477093552;13.202,78;998902553823;12.968,26;243615521645;13.079,71;1587712811434;13.155,02;689126409696
2006-01-27;13.573,89;440951482166;13.683,88;836435085055;13.239,73;1002153776147;13.004,83;244541726793;13.109,79;1591711533163;13.187,28;690760243859
2006-01-28;13.573,89;440951482166;13.683,88;836435085055;13.239,73;1002153776147;13.004,83;244541726793;13.109,79;1591711533163;13.187,28;690760243859
2006-01-29;13.573,89;440951482166;13.683,88;836435085055;13.239,73;1002153776147;13.004,83;244541726793;13.109,79;1591711533163;13.187,28;690760243859
2006-01-30;13.597,88;441963359152;13.707,46;838091153394;13.269,98;1004490224358;13.032,05;245346284459;13.135,57;1595972608440;13.215,24;692730193907
2006-01-31;13.619,26;446614248369;13.726,68;846163560192;13.294,92;1006582578848;13.054,26;246716465258;13.157,73;1598673109469;13.237,20;696109418932
