
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-01-01;15.861,01;1420270809214;16.327,46;969114231535;16.357,17;1335586897825;15.984,18;285063398151;15.839,95;2039493378225
2009-01-02;15.884,83;1422403687202;16.357,41;970855083087;16.373,17;1336619337851;16.015,25;285564074650;15.865,03;2042626685317
2009-01-03;15.884,83;1422403687202;16.357,41;970855083087;16.373,17;1336619337851;16.015,25;285564074650;15.865,03;2042626685317
2009-01-04;15.884,83;1422403687202;16.357,41;970855083087;16.373,17;1336619337851;16.015,25;285564074650;15.865,03;2042626685317
2009-01-05;15.924,32;1425926973178;16.403,69;974056469655;16.412,28;1338259345092;16.064,73;286460544585;15.916,05;2067755774149
2009-01-06;15.981,32;1431472697775;16.460,33;977570071439;16.460,15;1340086324292;16.111,22;286753200701;15.965,97;2074859586730
2009-01-07;16.010,09;1433547918654;16.491,06;979159046133;16.484,19;1342261819601;16.133,32;287359562767;15.985,32;2077399074404
2009-01-08;15.956,00;1428081934473;16.444,48;976300648893;16.430,52;1337896603238;16.086,46;286523356722;15.933,28;2070779372478
2009-01-09;15.944,80;1426785077914;16.447,49;976618835511;16.436,43;1333959543995;16.068,58;286148095862;15.929,09;2063405170584
2009-01-10;15.944,80;1426785077914;16.447,49;976618835511;16.436,43;1333959543995;16.068,58;286148095862;15.929,09;2063405170584
2009-01-11;15.944,80;1426785077914;16.447,49;976618835511;16.436,43;1333959543995;16.068,58;286148095862;15.929,09;2063405170584
2009-01-12;15.955,72;1421622563396;16.449,34;976816898464;16.462,28;1336012567615;16.050,50;284213120696;15.944,63;2063871000808
2009-01-13;15.902,11;1416006936855;16.398,75;972671120913;16.404,78;1331797839990;16.002,32;283403583011;15.896,33;2057254963214
2009-01-14;15.896,67;1416069963397;16.380,44;971207165495;16.399,28;1331863142184;15.996,63;283542242177;15.883,72;2055336880862
2009-01-15;15.903,02;1417613147543;16.382,56;970542945925;16.395,38;1332563200787;15.990,78;283112377405;15.893,93;2057631538712
2009-01-16;15.905,20;1417720736659;16.384,87;971843795311;16.393,20;1333531839656;16.001,21;283690676929;15.909,61;2060465697532
2009-01-17;15.905,20;1417720736659;16.384,87;971843795311;16.393,20;1333531839656;16.001,21;283690676929;15.909,61;2060465697532
2009-01-18;15.905,20;1417720736659;16.384,87;971843795311;16.393,20;1333531839656;16.001,21;283690676929;15.909,61;2060465697532
2009-01-19;15.949,97;1423169127888;16.420,02;975518371547;16.451,38;1339548656714;16.037,53;284503095391;15.957,47;2069221265944
2009-01-20;15.951,59;1423937307146;16.457,35;978267628398;16.441,59;1339511901209;16.044,74;284722121097;15.965,04;2071097053339
2009-01-21;15.901,07;1420303397963;16.416,13;976116878411;16.381,75;1334275000872;15.998,44;284098989428;15.917,04;2065323280345
2009-01-22;15.928,18;1422919706266;16.423,85;976614801836;16.401,69;1335917620260;16.012,53;284416972864;15.938,53;2069180457267
2009-01-23;15.926,22;1422631544238;16.424,43;976794979872;16.414,13;1337317608210;16.019,36;284725961902;15.936,67;2068641625565
2009-01-24;15.926,22;1422631544238;16.424,43;976794979872;16.414,13;1337317608210;16.019,36;284725961902;15.936,67;2068641625565
