
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-01-01;37.484,42;6060466747621;39.362,85;3927962353925;40.049,43;7041098087358;37.842,78;685421077989;36.085,67;1085368135777;36.878,99;9137569736128;40.468,93;2607159744
2020-01-02;37.508,65;6059536345712;39.380,57;3925762158249;40.076,87;7039879166374;37.880,46;685553153217;36.108,91;1086253384656;36.900,93;9134956023420;40.486,61;3251292239
2020-01-03;37.733,88;6094702247888;39.610,62;3947130712307;40.308,30;7080274218197;38.113,35;689451966854;36.333,45;1092947632878;37.127,10;9190631163207;40.722,42;3270632047
2020-01-04;37.733,88;6094702247888;39.610,62;3947130712307;40.308,30;7080274218197;38.113,35;689451966854;36.333,45;1092947632878;37.127,10;9190631163207;40.722,42;3270632047
2020-01-05;37.733,88;6094702247888;39.610,62;3947130712307;40.308,30;7080274218197;38.113,35;689451966854;36.333,45;1092947632878;37.127,10;9190631163207;40.722,42;3270632047
2020-01-06;37.815,14;6106459983960;39.685,86;3953750821053;40.398,15;7091251046976;38.184,11;689269179311;36.403,98;1094731987379;37.205,86;9208766641150;40.813,26;3250749497
2020-01-07;37.944,66;6126200730283;39.812,00;3963335357416;40.528,49;7112873631335;38.302,20;690903845997;36.520,32;1098098132911;37.328,94;9242216837759;40.938,71;3275110778
2020-01-08;37.995,55;6121265554747;39.848,07;3960343098395;40.587,55;7097385297463;38.339,96;689597921512;36.560,41;1098971042151;37.370,14;9248347151404;40.948,85;3254005367
2020-01-09;37.900,51;6104704260957;39.746,91;3949908673832;40.482,02;7072324450888;38.256,41;687422613795;36.465,58;1096096601370;37.276,48;9224443915756;40.835,90;3339991177
2020-01-10;37.905,91;6115939366081;39.753,44;3952186849191;40.485,25;7072771750405;38.247,73;688251878962;36.465,83;1096547553497;37.279,37;9215807413396;40.821,53;3170211669
2020-01-11;37.905,91;6115939366081;39.753,44;3952186849191;40.485,25;7072771750405;38.247,73;688251878962;36.465,83;1096547553497;37.279,37;9215807413396;40.821,53;3170211669
2020-01-12;37.905,91;6115939366081;39.753,44;3952186849191;40.485,25;7072771750405;38.247,73;688251878962;36.465,83;1096547553497;37.279,37;9215807413396;40.821,53;3170211669
2020-01-13;37.851,46;6115412994495;39.719,28;3945485619388;40.445,93;7059939853833;38.191,31;687915986562;36.408,48;1095303886322;37.222,88;9202808102921;40.775,80;3176826785
2020-01-14;37.979,33;6129382734187;39.848,29;3958107765647;40.576,59;7080047677297;38.334,84;691948679418;36.535,31;1095702479684;37.348,89;9227640982327;40.925,59;3196769742
2020-01-15;37.941,88;6120791612860;39.814,09;3953856223704;40.542,02;7072558688789;38.300,13;692859702049;36.499,33;1096570696625;37.318,27;9214128030905;40.875,99;3412755394
2020-01-16;37.956,86;6115646530853;39.841,40;3955583466381;40.552,19;7070497527542;38.317,78;692885192940;36.527,98;1097657209767;37.336,94;9211843017206;40.903,97;3314562742
2020-01-17;38.063,48;6128185467647;39.955,74;3966225001271;40.656,48;7084085044130;38.421,58;693108374085;36.628,26;1100441728862;37.436,96;9235086551382;41.013,75;3331296735
2020-01-18;38.063,48;6128185467647;39.955,74;3966225001271;40.656,48;7084085044130;38.421,58;693108374085;36.628,26;1100441728862;37.436,96;9235086551382;41.013,75;3331296735
2020-01-19;38.063,48;6128185467647;39.955,74;3966225001271;40.656,48;7084085044130;38.421,58;693108374085;36.628,26;1100441728862;37.436,96;9235086551382;41.013,75;3331296735
2020-01-20;38.193,66;6146792387455;40.078,62;3975967589678;40.787,60;7103046654127;38.546,42;694872071890;36.748,08;1103893012927;37.575,67;9267084478914;41.124,83;3347460323
2020-01-21;38.261,01;6150783814746;40.155,10;3979781694377;40.857,28;7111414827008;38.605,47;695546256895;36.813,90;1105758565118;37.642,22;9283656086254;41.204,32;3345307605
2020-01-22;38.131,13;6126957253150;40.015,87;3964045253750;40.758,49;7097716343046;38.489,64;692969259551;36.699,49;1102187888997;37.500,90;9247966310212;41.048,32;3322146091
2020-01-23;38.105,59;6120803436298;39.992,79;3960897058079;40.730,04;7089631508054;38.459,14;692006792171;36.668,28;1101180428665;37.473,99;9241138022078;41.033,69;3805241841
2020-01-24;37.977,77;6096918221322;39.873,41;3948232483445;40.602,50;7066661373115;38.341,02;688630466437;36.556,38;1097784247320;37.352,91;9209385350886;40.916,02;4090185762
2020-01-25;37.977,77;6096918221322;39.873,41;3948232483445;40.602,50;7066661373115;38.341,02;688630466437;36.556,38;1097784247320;37.352,91;9209385350886;40.916,02;4090185762
2020-01-26;37.977,77;6096918221322;39.873,41;3948232483445;40.602,50;7066661373115;38.341,02;688630466437;36.556,38;1097784247320;37.352,91;9209385350886;40.916,02;4090185762
2020-01-27;37.953,71;6098748511969;39.840,69;3945449966015;40.583,46;7066719814649;38.307,89;688051555084;36.521,61;1096449699376;37.329,21;9201760866655;40.878,58;4080557482
2020-01-28;37.951,53;6100341019522;39.857,19;3946855709469;40.598,30;7069945608400;38.293,15;688847619862;36.525,83;1096952403246;37.326,67;9203748281225;40.918,45;4084646158
2020-01-29;38.027,63;6114216185333;39.940,62;3956157185821;40.663,23;7082275965711;38.367,13;690006499890;36.597,24;1099189329467;37.406,49;9223444837482;40.981,03;4103743057
2020-01-30;37.989,80;6104129120424;39.900,30;3951700415270;40.635,66;7075230015498;38.338,81;689909297090;36.560,22;1098109687602;37.368,49;9214105280645;40.913,01;4335568636
2020-01-31;37.956,55;6138163991981;39.883,45;3999385691820;40.623,43;7118913776841;38.294,81;691069849171;36.531,36;1100556677869;37.322,96;9270837305768;40.915,59;4473082727
2020-02-01;37.956,55;6138163991981;39.883,45;3999385691820;40.623,43;7118913776841;38.294,81;691069849171;36.531,36;1100556677869;37.322,96;9270837305768;40.915,59;4473082727
