
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-01;14.215,84;393203541291;12.266,05;449799485924;23.865,63;61742155136;13.679,44;13346305721;13.497,68;312993911025;13.496,56;124349784642;14.039,23;99750218557
2003-01-02;14.240,77;393764414428;12.283,69;450454760271;23.907,28;61848550020;13.683,73;13350483969;13.502,32;313066261027;13.505,94;124421927163;14.052,07;99845079668
2003-01-03;14.236,95;393654127913;12.299,11;450924152445;23.835,75;61634269172;13.709,41;13377524730;13.524,15;313515692038;13.511,10;124454247788;14.061,42;99909693039
2003-01-04;14.236,95;393654127913;12.299,11;450924152445;23.835,75;61634269172;13.709,41;13377524730;13.524,15;313515692038;13.511,10;124454247788;14.061,42;99909693039
2003-01-05;14.236,95;393654127913;12.299,11;450924152445;23.835,75;61634269172;13.709,41;13377524730;13.524,15;313515692038;13.511,10;124454247788;14.061,42;99909693039
2003-01-06;14.220,33;392097860630;12.265,50;449677326033;23.764,24;61439485833;13.680,82;13349371925;13.482,97;312531686365;13.479,37;124172449546;14.022,19;99630959612
2003-01-07;14.204,90;391447458173;12.261,31;449210104126;23.718,01;61312707543;13.678,42;13346936148;13.489,44;312552111684;13.474,45;124237356337;14.019,71;99551744863
2003-01-08;14.231,52;392178142889;12.273,80;449670747371;23.830,52;61497686752;13.684,33;13351644934;13.508,32;312827886396;13.494,74;124433744902;14.041,85;99708939673
2003-01-09;14.226,74;392054191463;12.284,47;449334014474;23.783,53;61380768005;13.716,65;13380574521;13.530,34;313274860032;13.503,40;124386981818;14.055,44;99815197226
2003-01-10;14.246,99;392403144551;12.302,59;449677172531;23.853,89;61716254592;13.733,27;13395027696;13.546,59;313091824212;13.525,42;124579938004;14.070,75;100233650976
