
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-01-01;16.104,90;227043483586;13.877,40;275039500700;26.576,94;37245863733;15.159,72;272246803590;14.996,93;98700587983;15.901,58;83792356002
2005-01-02;16.104,90;227043483586;13.877,40;275039500700;26.576,94;37245863733;15.159,72;272246803590;14.996,93;98700587983;15.901,58;83792356002
2005-01-03;16.094,43;226184336750;13.878,67;274761162228;26.579,90;37249909057;15.157,23;272168797732;14.997,98;98588662765;15.900,69;83787681217
2005-01-04;16.076,32;225662412299;13.875,30;273648689582;26.557,03;37074226438;15.155,31;272082245388;14.990,57;98378480846;15.901,28;83589171629
2005-01-05;16.078,64;225380116252;13.876,78;272579603269;26.599,66;37053765195;15.178,27;272303084518;15.004,57;98472700961;15.931,80;83456821134
2005-01-06;16.071,00;225042729489;13.873,68;271219147479;26.589,32;36950152992;15.163,64;271771259645;15.002,10;98224660799;15.917,68;82941634795
2005-01-07;16.050,80;224398082714;13.857,30;270428438355;26.572,85;36794639618;15.147,08;271435244910;14.993,69;98152623734;15.903,03;82739892443
2005-01-08;16.050,80;224398082714;13.857,30;270428438355;26.572,85;36794639618;15.147,08;271435244910;14.993,69;98152623734;15.903,03;82739892443
2005-01-09;16.050,80;224398082714;13.857,30;270428438355;26.572,85;36794639618;15.147,08;271435244910;14.993,69;98152623734;15.903,03;82739892443
2005-01-10;16.043,17;223429969258;13.851,42;269711204696;26.562,40;36688829947;15.143,80;270679859360;14.991,57;97844506728;15.897,50;82491209227
2005-01-11;16.046,89;223275106140;13.855,02;269850746679;26.565,41;36693193668;15.149,53;269981224498;14.992,96;97399149511;15.900,49;82475222828
2005-01-12;16.046,21;222430302590;13.858,92;269475827746;26.565,99;36677905359;15.152,42;269754259988;14.993,68;97313967068;15.903,11;82236639954
2005-01-13;16.066,37;222468282088;13.868,20;268849929886;26.590,13;36821971876;15.163,00;269682616002;14.999,47;97344206294;15.912,28;82290306873
2005-01-14;16.046,23;221751446882;13.857,77;268354555229;26.564,51;36785729169;15.152,58;269576983175;14.990,30;97338319749;15.895,36;82349419558
2005-01-15;16.046,23;221751446882;13.857,77;268354555229;26.564,51;36785729169;15.152,58;269576983175;14.990,30;97338319749;15.895,36;82349419558
2005-01-16;16.046,23;221751446882;13.857,77;268354555229;26.564,51;36785729169;15.152,58;269576983175;14.990,30;97338319749;15.895,36;82349419558
2005-01-17;16.065,78;221648186249;13.874,76;268179771378;26.594,67;36357449010;15.164,95;269268771590;15.003,17;96724810311;15.913,85;82182638202
2005-01-18;16.075,19;221447908783;13.889,15;268546171627;26.618,56;36394903312;15.179,86;269693168509;15.013,92;96823592834;15.920,08;82262854444
