
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-01-01;16.752,40;70276740336;16.790,07;173113045332;14.554,31;227840767380;27.724,68;28108841401;15.923,27;243796141934;15.675,03;84566392603
2006-01-02;16.752,12;70275555188;16.793,98;173100707818;14.559,96;226594238342;27.726,57;28110757671;15.925,13;243583943461;15.677,78;84578117418
2006-01-03;16.766,03;70296598379;16.800,28;172929516961;14.586,60;226908794404;27.749,65;27757987694;15.943,00;243679108898;15.694,17;84410079165
2006-01-04;16.789,49;70370664235;16.833,07;172788520856;14.604,40;227025427704;27.802,75;27809481576;15.959,69;243808751592;15.716,28;84492972386
2006-01-05;16.774,82;70192173304;16.828,03;172426496421;14.590,76;226830175594;27.802,92;27771546512;15.952,82;243704897456;15.709,23;84200477460
2006-01-06;16.778,03;70141335351;16.829,98;172177957122;14.593,96;226131806311;27.806,58;27775057109;15.959,97;243564328223;15.713,98;84193749402
2006-01-07;16.778,03;70141335351;16.829,98;172177957122;14.593,96;226131806311;27.806,58;27775057109;15.959,97;243564328223;15.713,98;84193749402
2006-01-08;16.778,03;70141335351;16.829,98;172177957122;14.593,96;226131806311;27.806,58;27775057109;15.959,97;243564328223;15.713,98;84193749402
2006-01-09;16.792,92;70200799336;16.841,19;172043560030;14.605,13;225882291253;27.829,24;27797291256;15.968,45;243063178594;15.723,65;84083802670
2006-01-10;16.817,58;70241653706;16.864,14;172003679790;14.633,12;226326766320;27.858,98;27827254313;15.994,85;242676814329;15.752,14;84233023463
2006-01-11;16.838,03;70137634356;16.875,24;172016601865;14.661,02;226672952215;27.901,32;27798011077;16.014,03;242825601217;15.773,03;84360764529
2006-01-12;16.832,57;70057271201;16.875,23;171706302644;14.654,82;226594105818;27.902,72;27799380070;16.009,24;242744629641;15.766,93;84303700804
2006-01-13;16.847,34;70604756490;16.886,29;171735759497;14.677,57;225786533498;27.926,19;27770592288;16.023,47;243013385116;15.779,05;84428690125
2006-01-14;16.847,34;70604756490;16.886,29;171735759497;14.677,57;225786533498;27.926,19;27770592288;16.023,47;243013385116;15.779,05;84428690125
2006-01-15;16.847,34;70604756490;16.886,29;171735759497;14.677,57;225786533498;27.926,19;27770592288;16.023,47;243013385116;15.779,05;84428690125
2006-01-16;16.872,08;70606364518;16.927,05;172029909232;14.705,26;226316734911;27.985,15;27732155724;16.054,52;243450812798;15.809,01;84346366162
2006-01-17;16.874,49;70681542916;16.924,72;172128348052;14.707,64;226434230320;27.996,07;27760612626;16.060,13;243489776549;15.815,13;84036515016
2006-01-18;16.904,68;71028914392;16.951,54;172424668585;14.738,60;227078299944;28.061,19;27843690822;16.086,96;243852859768;15.839,75;84168202331
2006-01-19;16.937,78;71165032697;16.979,87;172766325232;14.764,56;226365762101;28.099,28;27922593284;16.115,47;244299370297;15.869,80;84457230824
2006-01-20;16.954,96;71492422386;16.993,73;172745476813;14.776,82;226139919297;28.117,86;27971045275;16.129,28;244739378997;15.881,65;84543464438
2006-01-21;16.954,96;71492422386;16.993,73;172745476813;14.776,82;226139919297;28.117,86;27971045275;16.129,28;244739378997;15.881,65;84543464438
2006-01-22;16.954,96;71492422386;16.993,73;172745476813;14.776,82;226139919297;28.117,86;27971045275;16.129,28;244739378997;15.881,65;84543464438
2006-01-23;16.956,13;71286929690;17.002,63;172874449343;14.785,87;226414845744;28.125,32;27997032827;16.134,94;243265893856;15.886,88;84524131468
2006-01-24;16.949,44;71379742686;17.005,49;172568253085;14.779,49;226279181114;28.117,30;27992513259;16.133,17;243490519601;15.882,88;84609913933
2006-01-25;16.946,69;71418975844;17.003,32;172460712860;14.786,23;226514111303;28.117,08;27992837775;16.137,92;243610655397;15.885,91;84614646852
2006-01-26;16.959,95;71544722111;17.032,78;172193379129;14.792,30;225625461822;28.123,68;27984454330;16.142,33;243677278378;15.893,46;84719903940
2006-01-27;16.964,79;71388120256;17.048,63;172507829687;14.794,50;225717255929;28.148,79;28045059124;16.147,31;243816220328;15.899,73;84731641451
2006-01-28;16.964,79;71388120256;17.048,63;172507829687;14.794,50;225717255929;28.148,79;28045059124;16.147,31;243816220328;15.899,73;84731641451
2006-01-29;16.964,79;71388120256;17.048,63;172507829687;14.794,50;225717255929;28.148,79;28045059124;16.147,31;243816220328;15.899,73;84731641451
2006-01-30;16.963,30;71368896591;17.026,34;172310606161;14.799,03;225727663749;28.138,56;28053165013;16.145,21;243957942269;15.900,66;84764495056
2006-01-31;16.973,96;71526782693;17.047,03;172517609826;14.809,16;225880403153;28.168,46;28069847832;16.160,25;244185295181;15.906,10;84806776481
2006-02-01;16.968,80;71492894820;17.053,14;172368182658;14.805,98;225402445767;28.164,94;27994831411;16.162,08;243763557731;15.903,36;84722341534
2006-02-02;16.979,71;71496622798;17.065,87;171868819994;14.816,01;224973896880;28.182,57;28003389386;16.172,39;243836512214;15.914,18;84357261119
2006-02-03;16.982,43;70706666317;17.071,80;171703697942;14.821,58;225009118093;28.187,44;27991721603;16.166,45;243405355031;15.918,51;84305501720
2006-02-04;16.982,43;70706666317;17.071,80;171703697942;14.821,58;225009118093;28.187,44;27991721603;16.166,45;243405355031;15.918,51;84305501720
2006-02-05;16.982,43;70706666317;17.071,80;171703697942;14.821,58;225009118093;28.187,44;27991721603;16.166,45;243405355031;15.918,51;84305501720
2006-02-06;16.985,87;70633156594;17.081,08;171294792180;14.818,50;224932613773;28.196,32;27617688618;16.169,22;242103034848;15.918,36;84146463150
2006-02-07;16.986,10;70633675758;17.071,31;170642339587;14.817,89;224948452684;28.192,16;27613648400;16.164,85;242337183695;15.918,64;84142225299
2006-02-08;16.977,00;70450824250;17.085,75;170132950949;14.812,51;224864001916;28.181,56;27528727235;16.164,11;242258225422;15.910,61;83937559390
2006-02-09;16.969,44;70499237618;17.078,31;169709013717;14.805,64;223576480238;28.172,13;27519426529;16.161,47;241892030125;15.906,78;83846973543
2006-02-10;16.963,91;70392758203;17.077,31;169762120541;14.797,84;222637485397;28.165,77;27429310724;16.151,80;240999580654;15.900,88;83837884383
2006-02-11;16.963,91;70392758203;17.077,31;169762120541;14.797,84;222637485397;28.165,77;27429310724;16.151,80;240999580654;15.900,88;83837884383
2006-02-12;16.963,91;70392758203;17.077,31;169762120541;14.797,84;222637485397;28.165,77;27429310724;16.151,80;240999580654;15.900,88;83837884383
2006-02-13;16.975,58;70441707415;17.080,67;169344944559;14.806,61;222944898193;28.177,07;27440284816;16.159,33;241174139383;15.908,10;83832120809
2006-02-14;16.966,37;70425343924;17.083,77;169084545256;14.796,99;222844438392;28.173,29;27469104063;16.154,02;241274552150;15.901,53;83442332231
2006-02-15;16.961,82;70105366552;17.072,00;168557019498;14.774,29;222370897046;28.158,44;27302672070;16.134,79;240840878808;15.888,73;83166191521
2006-02-16;16.962,13;70117130901;17.061,23;168600915490;14.778,03;221650048159;28.152,89;27360684594;16.135,11;240869740550;15.888,44;83302686285
2006-02-17;16.971,59;70165536807;17.068,26;168693528146;14.788,50;222228655787;28.171,69;27383589044;16.144,84;241076830720;15.899,55;83344781281
2006-02-18;16.971,59;70165536807;17.068,26;168693528146;14.788,50;222228655787;28.171,69;27383589044;16.144,84;241076830720;15.899,55;83344781281
2006-02-19;16.971,59;70165536807;17.068,26;168693528146;14.788,50;222228655787;28.171,69;27383589044;16.144,84;241076830720;15.899,55;83344781281
2006-02-20;16.983,27;70269209406;17.082,44;168678317085;14.803,24;222244563000;28.180,98;27401210002;16.155,26;239860276129;15.907,32;83463993142
2006-02-21;17.001,29;70351809689;17.105,96;168830342009;14.818,28;222510339687;28.208,24;27411703036;16.176,37;240464449024;15.925,54;83551327700
2006-02-22;17.017,95;70161866916;17.108,52;168616058644;14.842,03;222799218172;28.215,38;27426585389;16.187,46;240816416581;15.939,37;83635903055
2006-02-23;17.036,68;70230736753;17.126,03;168675944338;14.855,26;222490132201;28.242,53;27456969230;16.205,04;241122299064;15.956,58;83685328290
2006-02-24;17.032,79;70181313181;17.126,76;168441477962;14.853,49;222525936712;28.238,48;27472677959;16.199,89;241116415034;15.953,85;83730444582
2006-02-25;17.032,79;70181313181;17.126,76;168441477962;14.853,49;222525936712;28.238,48;27472677959;16.199,89;241116415034;15.953,85;83730444582
2006-02-26;17.032,79;70181313181;17.126,76;168441477962;14.853,49;222525936712;28.238,48;27472677959;16.199,89;241116415034;15.953,85;83730444582
2006-02-27;17.032,79;70210157139;17.131,31;168540082016;14.856,74;222560823680;28.251,52;27492076210;16.205,52;241365641633;15.957,66;83630741032
2006-02-28;17.035,22;70123526630;17.127,41;168527328201;14.868,91;222688613655;28.262,65;27509775297;16.214,79;241652640017;15.958,65;83605385722
2006-03-01;17.022,60;70061018207;17.120,77;168245292080;14.854,82;221762345368;28.245,77;27474970891;16.203,12;241205079108;15.950,35;83462797933
2006-03-02;17.011,93;70003443024;17.123,02;167870419734;14.854,34;221376910474;28.241,06;27474087304;16.198,12;240955514190;15.950,42;83229807295
2006-03-03;17.021,10;69861915665;17.128,61;167589026678;14.856,96;221413930911;28.248,69;27481514253;16.207,18;241135094053;15.953,60;83208949291
2006-03-04;17.021,10;69861915665;17.128,61;167589026678;14.856,96;221413930911;28.248,69;27481514253;16.207,18;241135094053;15.953,60;83208949291
2006-03-05;17.021,10;69861915665;17.128,61;167589026678;14.856,96;221413930911;28.248,69;27481514253;16.207,18;241135094053;15.953,60;83208949291
2006-03-06;17.029,46;69895300029;17.130,04;167194506546;14.860,90;221492750236;28.266,42;27486077891;16.208,36;240219488561;15.959,54;83191360389
2006-03-07;17.042,21;69915953927;17.134,21;166920234811;14.864,25;221093303001;28.275,22;27027598213;16.213,21;240155893154;15.963,28;83191019203
2006-03-08;17.032,62;69577146478;17.132,14;166549135325;14.855,35;220339101327;28.269,57;27021983872;16.203,42;239982844323;15.957,29;83004612010
2006-03-09;17.027,31;69516189389;17.136,28;166304527845;14.842,30;219179226183;28.264,88;27017364058;16.196,95;239552102009;15.951,52;82926035194
2006-03-10;17.028,80;69714184024;17.126,90;166049804259;14.842,19;218880399664;28.254,97;26947487239;16.194,67;238933397283;15.948,97;82956456600
2006-03-11;17.028,80;69714184024;17.126,90;166049804259;14.842,19;218880399664;28.254,97;26947487239;16.194,67;238933397283;15.948,97;82956456600
2006-03-12;17.028,80;69714184024;17.126,90;166049804259;14.842,19;218880399664;28.254,97;26947487239;16.194,67;238933397283;15.948,97;82956456600
2006-03-13;17.019,03;69688827796;17.117,80;165714007593;14.838,98;218901197766;28.245,66;26938545090;16.188,34;238775588373;15.944,20;82969930823
2006-03-14;17.017,88;69789834592;17.120,86;165676588083;14.836,87;219083549848;28.245,17;26944054090;16.189,21;238897566105;15.943,64;82862792846
2006-03-15;17.017,19;69298692858;17.099,96;165337984677;14.830,96;218930088862;28.216,77;26603150677;16.183,37;238599122426;15.933,04;82764237589
2006-03-16;17.030,14;69373969074;17.110,54;165438544426;14.837,89;217824421786;28.231,14;26652646291;16.191,84;238750468380;15.944,17;82854929138
2006-03-17;17.045,44;69522124929;17.120,80;165446075040;14.849,91;218131304945;28.249,74;26714235272;16.206,55;238982410957;15.960,52;83023995465
2006-03-18;17.045,44;69522124929;17.120,80;165446075040;14.849,91;218131304945;28.249,74;26714235272;16.206,55;238982410957;15.960,52;83023995465
2006-03-19;17.045,44;69522124929;17.120,80;165446075040;14.849,91;218131304945;28.249,74;26714235272;16.206,55;238982410957;15.960,52;83023995465
2006-03-20;17.049,70;69547319306;17.127,60;165283815527;14.853,24;218244743601;28.259,45;26723435263;16.215,72;237599832877;15.963,01;83038681361
2006-03-21;17.051,04;69552616766;17.127,52;164879047740;14.854,36;218172212414;28.264,31;26740274096;16.217,24;237602569995;15.963,31;82543799409
2006-03-22;17.050,92;69439508926;17.124,67;164543173288;14.850,85;218242007857;28.261,23;26737294616;16.211,01;237479485796;15.959,86;82614140118
2006-03-23;17.048,29;69447612017;17.134,01;164452588497;14.848,49;216531391299;28.268,60;26744018827;16.215,85;237497584301;15.958,79;82627530465
2006-03-24;17.054,70;69338517188;17.138,85;164356653594;14.857,71;216829947668;28.271,16;26760790134;16.220,32;237447024525;15.967,35;82748130720
2006-03-25;17.054,70;69338517188;17.138,85;164356653594;14.857,71;216829947668;28.271,16;26760790134;16.220,32;237447024525;15.967,35;82748130720
2006-03-26;17.054,70;69338517188;17.138,85;164356653594;14.857,71;216829947668;28.271,16;26760790134;16.220,32;237447024525;15.967,35;82748130720
2006-03-27;17.070,99;69393668348;17.146,10;164122763633;14.870,94;216895422824;28.296,76;26801683547;16.238,95;237792821437;15.983,17;82925293631
2006-03-28;17.080,39;69442762904;17.156,54;164112816722;14.872,14;216908740071;28.299,40;26807836897;16.237,84;237861619463;15.985,89;82942295659
2006-03-29;17.088,52;69536657601;17.174,51;164311193269;14.878,46;216955276592;28.316,22;26828741946;16.244,39;238177080074;15.993,28;82997417439
2006-03-30;17.087,86;69523723996;17.174,53;164199249640;14.889,17;215038364697;28.312,63;26826362545;16.250,28;238345317070;16.001,90;83062404442
2006-03-31;17.091,56;69485705294;17.167,70;164085520592;14.880,94;214765995835;28.304,82;26818408877;16.248,89;238335384284;15.992,08;83101488300
