
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-01-01;20.286,07;846727074672;21.508,91;849428252672;19.179,77;1103666568010;35.490,19;82389220912;20.296,50;782712518870
2009-01-02;20.292,97;847015028142;21.516,65;849633370851;19.183,06;1106582768420;35.501,50;82411761677;20.304,84;785450020271
2009-01-03;20.292,97;847015028142;21.516,65;849633370851;19.183,06;1106582768420;35.501,50;82411761677;20.304,84;785450020271
2009-01-04;20.292,97;847015028142;21.516,65;849633370851;19.183,06;1106582768420;35.501,50;82411761677;20.304,84;785450020271
2009-01-05;20.298,29;851011460286;21.526,31;851703297339;19.184,49;1107488121942;35.532,26;82474761717;20.310,73;787519283088
2009-01-06;20.341,13;857390556717;21.530,35;853226079833;19.232,62;1113975180371;35.549,63;82031867935;20.335,03;796871018811
2009-01-07;20.328,88;856863737024;21.497,73;853727490860;19.205,49;1114828246483;35.535,93;83699646110;20.322,44;796882176983
2009-01-08;20.299,16;857002752018;21.505,11;855121894103;19.176,99;1113355534565;35.541,51;83680837288;20.311,07;797067143660
2009-01-09;20.331,25;859036701091;21.535,01;857116753530;19.223,88;1116656567620;35.560,84;84355952210;20.344,90;797990846412
2009-01-10;20.331,25;859036701091;21.535,01;857116753530;19.223,88;1116656567620;35.560,84;84355952210;20.344,90;797990846412
2009-01-11;20.331,25;859036701091;21.535,01;857116753530;19.223,88;1116656567620;35.560,84;84355952210;20.344,90;797990846412
2009-01-12;20.399,76;860806842290;21.598,45;859300209678;19.301,19;1121244390047;35.617,76;84362111735;20.423,73;801440181502
2009-01-13;20.382,19;859741857638;21.574,69;858245679494;19.269,27;1119849428445;35.612,66;84350026828;20.400,55;801430151564
2009-01-14;20.383,44;860586127079;21.581,50;857052877669;19.278,74;1121193239250;35.619,57;84880791844;20.409,70;801776439002
2009-01-15;20.431,41;864744490405;21.637,67;860773279128;19.333,64;1126826593031;35.671,73;84379738506;20.449,57;807593667148
2009-01-16;20.446,41;865509704623;21.659,38;861504421293;19.341,93;1128428057618;35.688,26;85806564527;20.464,00;806709339529
2009-01-17;20.446,41;865509704623;21.659,38;861504421293;19.341,93;1128428057618;35.688,26;85806564527;20.464,00;806709339529
2009-01-18;20.446,41;865509704623;21.659,38;861504421293;19.341,93;1128428057618;35.688,26;85806564527;20.464,00;806709339529
2009-01-19;20.492,04;869824476059;21.706,30;863495190216;19.380,54;1132093208949;35.723,91;86114103066;20.507,85;810472144886
2009-01-20;20.477,36;871214583723;21.693,47;863103796090;19.356,59;1133111073317;35.713,19;86135669872;20.489,62;811013193733
2009-01-21;20.475,76;871985864272;21.688,81;863722256363;19.361,26;1135587381424;35.719,95;86211170194;20.496,50;811418277873
2009-01-22;20.487,45;872845180230;21.723,63;867340592972;19.357,52;1136909467694;35.751,83;87103965706;20.508,49;812565996009
2009-01-23;20.492,16;874188621423;21.762,65;869145883202;19.376,39;1138485817408;35.767,80;87163939787;20.515,20;813319835647
2009-01-24;20.492,16;874188621423;21.762,65;869145883202;19.376,39;1138485817408;35.767,80;87163939787;20.515,20;813319835647
2009-01-25;20.492,16;874188621423;21.762,65;869145883202;19.376,39;1138485817408;35.767,80;87163939787;20.515,20;813319835647
2009-01-26;20.474,97;875053824560;21.751,99;869856503664;19.373,27;1139287900641;35.772,03;87614084401;20.522,62;815232073980
2009-01-27;20.507,94;877386613373;21.777,84;871984123612;19.405,27;1141486818074;35.802,47;87672006614;20.545,78;816880851668
2009-01-28;20.535,24;879702828840;21.812,71;873397548761;19.421,99;1143610317544;35.815,91;88021110520;20.558,70;817331595844
2009-01-29;20.580,46;881728661044;21.855,28;875827252014;19.469,50;1147314134267;35.847,29;88112546820;20.606,74;819957117567
2009-01-30;20.670,19;886055747971;21.938,07;880816802411;19.561,60;1152982408728;35.958,90;88393235398;20.705,25;825078867992
2009-01-31;20.670,19;886055747971;21.938,07;880816802411;19.561,60;1152982408728;35.958,90;88393235398;20.705,25;825078867992
2009-02-01;20.670,19;886055747971;21.938,07;880816802411;19.561,60;1152982408728;35.958,90;88393235398;20.705,25;825078867992
2009-02-02;20.653,39;886398950344;21.947,67;881762796205;19.545,56;1155608928207;35.969,10;87616900925;20.698,66;827490816591
2009-02-03;20.686,34;889099504326;21.972,18;885527652887;19.561,15;1155445367298;36.001,36;88698323331;20.727,39;829398397045
2009-02-04;20.747,52;892665097380;22.046,75;888573226705;19.622,45;1160390671783;36.054,29;90332656211;20.790,14;832861281823
2009-02-05;20.726,81;893277967054;22.048,13;889080311011;19.607,99;1159676985482;36.054,53;90629238917;20.781,69;834056964874
2009-02-06;20.701,15;893268454273;22.020,18;888318487878;19.578,30;1160350445284;36.052,94;90622596375;20.769,22;833557085283
2009-02-07;20.701,15;893268454273;22.020,18;888318487878;19.578,30;1160350445284;36.052,94;90622596375;20.769,22;833557085283
2009-02-08;20.701,15;893268454273;22.020,18;888318487878;19.578,30;1160350445284;36.052,94;90622596375;20.769,22;833557085283
2009-02-09;20.687,30;894282163610;22.008,28;891168719535;19.570,69;1159498548361;36.048,20;90983336808;20.761,11;834419205751
2009-02-10;20.681,22;895047795951;22.010,71;892688969732;19.569,11;1159816919814;36.051,01;90780159984;20.759,46;835514838254
2009-02-11;20.694,23;896969552661;22.021,19;894292122046;19.581,95;1162676614920;36.074,00;91030925104;20.761,71;836398170009
2009-02-12;20.743,70;899970477441;22.084,45;896655946405;19.617,62;1165008732942;36.104,44;91161982970;20.806,30;838315210420
2009-02-13;20.773,67;903286237244;22.097,32;898493719712;19.639,75;1167466938250;36.127,88;91087472381;20.827,79;840559521138
2009-02-14;20.773,67;903286237244;22.097,32;898493719712;19.639,75;1167466938250;36.127,88;91087472381;20.827,79;840559521138
2009-02-15;20.773,67;903286237244;22.097,32;898493719712;19.639,75;1167466938250;36.127,88;91087472381;20.827,79;840559521138
2009-02-16;20.952,57;912686367412;22.247,96;907220320276;19.794,51;1181195338029;36.319,70;91030637462;20.986,28;850953659328
2009-02-17;20.976,38;915011379117;22.276,04;909532546721;19.804,73;1182848453337;36.370,00;92196294286;21.006,67;852619122985
2009-02-18;20.972,61;915831877917;22.284,63;911706637321;19.804,51;1183819391353;36.381,23;92271382807;21.008,47;853714310184
2009-02-19;20.953,12;915326784179;22.283,54;912859969199;19.802,27;1183330505031;36.383,00;92465864563;21.015,98;854252531182
2009-02-20;20.980,89;917707379656;22.335,49;915354427794;19.813,95;1184101794259;36.411,20;92600111042;21.031,36;855947407068
2009-02-21;20.980,89;917707379656;22.335,49;915354427794;19.813,95;1184101794259;36.411,20;92600111042;21.031,36;855947407068
2009-02-22;20.980,89;917707379656;22.335,49;915354427794;19.813,95;1184101794259;36.411,20;92600111042;21.031,36;855947407068
2009-02-23;20.995,03;919572777896;22.360,26;916912538970;19.822,73;1186022509622;36.430,09;92961390870;21.048,13;857804891594
2009-02-24;20.991,94;919876508781;22.360,81;918125027498;19.814,93;1187065189228;36.432,58;93063992610;21.055,30;859394187226
2009-02-25;21.040,15;922998684949;22.401,74;921109809321;19.857,60;1190654747964;36.496,82;93378296066;21.094,48;861777798112
2009-02-26;21.080,13;925787139715;22.438,59;923194242758;19.879,21;1193334066296;36.525,13;93502479992;21.129,70;864208093787
2009-02-27;21.161,67;930351553965;22.518,73;927472202265;19.955,64;1197772492027;36.606,79;93769037759;21.193,51;868418212532
2009-02-28;21.161,67;930351553965;22.518,73;927472202265;19.955,64;1197772492027;36.606,79;93769037759;21.193,51;868418212532
2009-03-01;21.161,67;930351553965;22.518,73;927472202265;19.955,64;1197772492027;36.606,79;93769037759;21.193,51;868418212532
2009-03-02;21.165,49;930677941130;22.525,00;928713326669;19.958,77;1200654988967;36.651,69;93235833947;21.208,67;871299329441
